,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.43,2.04,1.22,2.01,2.16,2.01,0.6,0.72,0.48,0.39,0.49,0.49,0.41,0.47,1.21,0.34
d_1,2.61,0.42,2.32,2.08,1.96,1.68,0.68,0.37,1.0,0.37,0.39,0.35,0.24,0.45,0.35,0.21
f_1,2.0,1.86,0.43,1.77,2.09,2.32,0.39,0.62,0.37,0.38,0.38,0.92,0.21,0.43,0.33,0.34
c_1,1.77,2.7,1.97,0.41,2.25,2.17,0.61,0.58,0.24,0.91,0.4,0.41,0.29,0.33,0.39,0.26
b_1,2.15,2.33,2.29,1.22,0.4,2.45,0.89,0.7,0.54,0.59,1.11,0.57,0.33,0.43,0.51,0.38
a_1,2.72,2.91,3.05,3.98,1.29,0.33,0.66,1.04,0.66,0.6,0.69,0.49,0.55,1.14,0.73,0.42
h_1,3.35,3.14,4.16,3.7,2.86,3.23,0.33,0.87,0.74,0.66,0.73,0.69,0.82,0.56,0.54,0.51
g_1,4.04,3.41,3.88,3.58,3.44,2.95,0.78,0.32,0.78,0.67,0.77,0.72,0.41,0.59,0.79,1.1
d_0,1.86,7.51,3.99,3.63,4.4,3.61,1.01,1.46,0.4,0.89,0.89,0.76,0.54,0.76,0.73,0.58
c_0,3.61,1.96,3.64,9.38,4.39,4.13,1.1,0.89,1.1,0.41,0.79,0.91,0.62,0.84,0.71,0.52
b_0,3.38,3.0,4.04,6.34,9.68,3.4,0.98,1.11,0.82,0.37,0.37,0.72,0.53,0.61,0.67,0.48
f_0,4.03,3.55,6.59,5.05,4.78,2.68,1.19,0.72,0.94,0.79,0.84,0.36,0.62,0.61,0.67,0.33
h_0,4.65,5.25,4.24,4.62,4.88,3.8,2.04,1.34,0.93,0.93,0.95,0.77,1.08,0.81,0.67,0.61
a_0,4.57,3.94,4.6,4.7,7.79,9.9,1.4,1.74,1.08,0.9,0.51,0.98,0.77,0.35,0.83,0.59
e_0,8.49,4.88,6.21,4.92,6.21,5.3,1.47,1.18,1.04,0.94,1.07,0.46,0.63,0.83,0.32,0.69
g_0,5.77,4.88,5.0,5.63,5.71,4.22,1.17,2.58,1.33,1.16,1.25,1.06,0.55,0.92,0.95,1.24
