,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,2.43,0.24,0.5,0.31,0.23,0.34,0.52,0.53,0.59,0.67,,0.65,0.63,0.69,0.74,
d_1,0.34,2.44,0.3,0.23,0.27,,0.55,0.56,,0.99,0.66,0.66,0.95,0.6,0.61,0.45
e_1,0.21,0.21,2.45,0.27,0.29,0.28,0.6,0.45,0.85,0.73,0.67,0.69,0.95,0.78,0.42,
c_1,0.27,0.31,0.27,2.53,0.44,,0.5,0.46,0.62,,0.61,0.57,0.86,0.71,0.6,0.79
b_1,0.33,0.29,0.25,0.26,2.66,0.41,0.55,0.49,0.63,0.61,0.59,,0.76,0.81,,0.75
a_1,0.23,,0.27,,0.24,3.29,0.58,0.49,0.57,0.71,0.62,0.61,0.78,,,
h_1,0.7,0.45,0.48,0.61,0.48,0.47,3.74,1.42,1.14,0.97,1.08,1.13,,2.03,1.12,1.44
g_1,0.47,0.62,0.59,0.55,0.47,0.53,0.75,4.16,1.21,1.4,1.78,1.32,1.29,,0.99,1.29
d_0,0.64,,0.6,0.91,0.61,0.72,1.41,1.3,3.57,1.26,0.93,1.22,1.66,1.52,1.48,1.32
c_0,0.38,0.51,0.5,,0.63,0.71,1.51,1.26,1.44,3.59,1.59,2.24,2.04,1.54,1.73,1.4
f_0,,0.58,0.54,0.61,0.74,0.65,1.29,0.94,1.28,1.5,3.77,1.62,1.46,1.71,1.38,2.63
b_0,0.67,0.74,0.49,0.64,,0.61,1.22,0.98,1.74,0.94,1.23,3.79,2.1,1.58,2.2,1.66
h_0,1.2,0.71,0.66,0.62,0.81,0.74,,2.09,1.44,1.44,1.98,1.25,,2.88,1.35,1.44
g_0,0.72,1.21,0.7,0.81,0.62,,1.36,,1.82,1.97,2.12,1.8,1.32,,1.46,1.57
a_0,0.52,0.58,0.74,0.7,,,1.43,1.4,1.17,1.07,1.54,1.02,2.02,1.79,4.79,
e_0,,0.84,,0.48,0.47,,1.26,1.21,1.4,1.4,0.93,1.49,2.02,1.99,,4.74
