,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,0.92,0.43,0.35,0.47,0.35,0.22,0.36,0.29,0.59,0.31,0.34,0.3,0.38,0.18,0.35,0.22
f_1,0.66,0.92,0.36,0.37,0.28,0.23,0.34,0.27,0.38,0.35,0.22,0.3,0.34,0.17,0.25,0.21
d_1,0.42,0.45,0.92,0.34,0.28,0.25,0.36,0.29,0.27,0.63,0.33,0.39,0.4,0.25,0.31,0.22
c_1,0.38,0.43,0.35,0.92,0.55,0.28,0.36,0.27,0.34,0.2,0.31,0.21,0.36,0.21,0.29,0.2
b_1,0.38,0.41,0.4,0.35,0.9,0.49,0.38,0.28,0.33,0.34,0.32,0.19,0.35,0.27,0.29,0.16
a_1,0.43,0.46,0.44,0.35,0.3,0.89,0.38,0.34,0.34,0.38,0.3,0.29,0.41,0.22,0.32,0.13
h_1,0.48,0.59,0.44,0.4,0.29,0.26,0.66,0.41,0.37,0.36,0.31,0.31,0.32,0.27,0.37,0.22
g_1,0.46,0.42,0.6,0.38,0.25,0.29,0.38,0.63,0.37,0.39,0.48,0.33,0.32,0.27,0.28,0.22
d_0,0.45,0.48,0.3,0.7,0.42,0.24,0.36,0.28,0.53,0.23,0.34,0.26,0.38,0.22,0.3,0.24
c_0,0.46,0.47,0.49,0.36,0.27,0.27,0.38,0.35,0.42,0.57,0.37,0.6,0.4,0.28,0.31,0.33
f_0,0.4,0.41,0.43,0.49,0.38,0.26,0.4,0.29,0.41,0.38,0.55,0.38,0.42,0.48,0.36,0.23
b_0,0.44,0.48,0.49,0.45,0.31,0.21,0.39,0.35,0.4,0.4,0.38,0.59,0.44,0.3,0.3,0.52
h_0,0.45,0.54,0.47,0.43,0.32,0.26,0.3,0.38,0.39,0.36,0.33,0.31,0.33,0.23,0.42,0.23
e_0,0.32,0.57,0.45,0.42,0.35,0.32,0.45,0.35,0.31,0.42,0.34,0.35,0.39,0.5,0.32,0.22
g_0,0.4,0.41,0.58,0.41,0.35,0.27,0.43,0.23,0.33,0.4,0.5,0.32,0.37,0.32,0.28,0.25
a_0,0.44,0.48,0.49,0.45,0.38,0.2,0.39,0.31,0.4,0.33,0.34,0.33,0.42,0.26,0.32,0.47
