,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.0,0.78,1.07,0.9,1.07,0.85,0.71,0.69,0.92,0.6,0.66,0.58,0.55,0.6,0.69,0.62
f_1,1.26,1.0,0.98,0.9,0.94,0.71,0.6,0.72,0.65,0.53,0.59,0.55,0.55,0.49,0.42,0.54
c_1,0.94,1.03,1.0,1.08,1.23,0.78,0.74,0.68,0.48,0.57,0.63,0.57,0.58,0.6,0.59,0.52
d_1,1.1,1.13,0.93,1.0,0.91,0.85,0.73,0.58,0.67,0.82,0.66,0.66,0.67,0.62,0.57,0.46
b_1,0.95,1.05,0.82,1.1,1.0,1.24,0.78,0.71,0.73,0.73,0.64,0.75,0.56,0.66,0.59,0.62
a_1,1.17,1.4,1.26,1.14,0.82,1.0,0.94,0.8,0.81,0.78,0.71,0.89,0.71,0.76,0.72,0.71
h_1,1.39,1.69,1.34,1.36,1.3,1.02,1.0,1.12,0.89,0.81,0.81,0.83,0.74,0.82,0.7,0.87
g_1,1.42,1.44,1.45,1.79,1.42,1.23,0.92,1.0,0.87,0.85,1.07,0.89,0.84,0.79,0.78,0.81
d_0,1.1,1.53,2.07,1.52,1.39,1.18,1.12,1.14,1.0,0.79,0.9,0.96,0.94,0.8,0.9,0.91
c_0,1.69,1.81,1.68,1.25,1.38,1.25,1.26,1.13,1.19,1.0,0.99,1.29,1.01,0.97,0.83,0.99
f_0,1.5,1.75,1.72,1.59,1.49,1.27,1.19,0.91,1.11,0.93,1.0,1.07,0.95,1.03,1.36,0.71
b_0,1.73,1.79,1.77,1.55,1.36,1.07,1.19,1.14,0.96,0.76,0.92,1.0,1.36,0.9,0.75,0.91
a_0,1.77,1.81,1.81,1.52,1.73,1.4,1.31,1.24,1.08,0.98,1.06,0.77,1.0,1.01,1.12,0.92
h_0,1.63,1.98,1.78,1.6,1.55,1.23,1.27,1.3,1.25,1.03,0.93,1.07,0.99,1.0,0.93,1.06
e_0,1.53,2.32,1.76,1.64,1.7,1.36,1.42,1.2,1.17,1.19,0.76,1.21,0.9,1.07,1.01,0.93
g_0,1.64,1.85,1.95,2.13,1.67,1.38,1.14,1.22,1.13,1.08,1.4,1.14,1.04,0.92,1.15,1.0
