,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.5,0.73,0.6,0.86,0.73,0.57,0.81,1.43,0.85,0.84,0.93,0.96,1.07,0.84,0.58,0.82
f_1,1.15,1.52,0.68,0.74,0.56,0.53,0.86,0.86,0.86,0.72,0.88,0.56,0.75,0.65,0.6,0.96
d_1,0.85,0.81,1.56,0.55,0.7,0.6,0.85,0.51,1.38,0.7,0.88,0.85,0.95,0.79,0.68,0.79
c_1,0.71,0.71,0.78,1.59,1.17,0.59,0.78,0.78,0.43,0.7,0.77,0.77,0.89,0.6,0.78,0.84
b_1,0.68,0.86,0.76,0.68,1.63,1.11,0.86,0.96,0.96,0.99,0.75,0.9,0.95,0.69,0.76,0.78
a_1,0.86,1.01,0.84,0.82,0.55,1.74,1.06,1.07,0.81,0.63,0.91,0.83,0.99,0.53,0.87,1.05
h_1,0.93,1.3,1.05,0.89,0.82,0.68,1.76,1.07,1.18,1.27,1.2,1.13,0.95,0.98,0.76,1.35
d_0,0.9,1.06,0.83,1.54,0.97,0.76,1.1,1.59,0.93,1.03,1.1,1.13,1.33,0.96,0.94,1.22
c_0,1.1,1.24,0.98,0.8,0.79,0.98,1.32,1.15,1.65,1.07,1.74,1.14,1.22,1.13,1.05,1.2
g_1,0.83,0.89,1.58,0.96,0.74,0.93,1.12,1.07,1.11,1.87,1.12,1.6,1.06,0.78,1.17,0.91
b_0,1.05,1.11,1.06,1.05,0.67,0.79,1.26,1.26,1.14,1.14,1.67,1.23,1.37,1.81,1.03,1.25
f_0,0.89,0.91,1.16,1.17,0.86,0.91,1.27,1.23,1.4,1.1,1.23,1.74,1.5,1.04,1.82,1.14
h_0,1.05,1.42,1.09,1.11,0.97,0.8,1.13,1.31,1.3,1.51,1.16,1.17,1.04,1.02,1.09,1.41
a_0,1.14,1.31,1.21,1.11,0.92,0.5,1.39,1.19,1.24,1.39,1.06,1.51,1.48,1.79,0.96,1.36
e_0,0.72,1.21,1.25,0.96,1.1,0.92,1.63,1.34,1.42,1.22,1.56,1.19,1.42,1.22,1.81,1.31
g_0,1.06,0.96,1.49,1.02,1.06,0.83,1.16,1.05,1.39,1.06,1.28,1.72,1.26,1.35,1.2,1.03
