,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.94,0.67,0.4,0.39,0.34,0.23,0.25,0.26,0.2,0.19,0.22,0.15,0.2,0.2,0.22,0.17
e_1,0.4,0.94,0.36,0.54,0.36,0.23,0.34,0.42,0.25,0.28,0.24,0.24,0.22,0.2,0.23,0.13
d_1,0.5,0.45,0.95,0.3,0.35,0.3,0.3,0.19,0.2,0.43,0.27,0.24,0.27,0.17,0.2,0.17
c_1,0.48,0.38,0.45,0.94,0.57,0.27,0.28,0.21,0.26,0.12,0.19,0.25,0.28,0.2,0.19,0.18
b_1,0.46,0.42,0.47,0.41,0.94,0.48,0.32,0.27,0.27,0.28,0.14,0.23,0.24,0.16,0.24,0.19
a_1,0.56,0.53,0.54,0.49,0.33,0.93,0.43,0.34,0.29,0.32,0.35,0.27,0.31,0.17,0.22,0.19
h_1,0.91,0.59,0.64,0.69,0.55,0.36,0.76,0.41,0.47,0.41,0.32,0.29,0.27,0.25,0.43,0.23
d_0,0.77,0.64,0.46,1.17,0.56,0.4,0.53,0.65,0.36,0.4,0.37,0.42,0.42,0.3,0.41,0.3
g_1,0.87,0.64,1.01,0.64,0.53,0.43,0.45,0.39,0.74,0.43,0.41,0.53,0.34,0.26,0.26,0.27
c_0,0.86,0.78,0.69,0.59,0.43,0.43,0.55,0.49,0.36,0.67,0.72,0.38,0.41,0.41,0.41,0.3
b_0,0.84,0.81,0.79,0.75,0.44,0.32,0.67,0.54,0.43,0.43,0.64,0.43,0.42,0.59,0.4,0.3
f_0,0.62,0.7,0.83,0.76,0.71,0.46,0.66,0.53,0.4,0.51,0.5,0.62,0.48,0.34,0.33,0.52
h_0,1.06,0.81,0.82,0.76,0.77,0.48,0.44,0.43,0.63,0.45,0.46,0.4,0.36,0.32,0.5,0.26
a_0,0.92,0.85,0.84,0.77,0.69,0.38,0.62,0.6,0.51,0.47,0.4,0.49,0.53,0.61,0.39,0.32
g_0,0.78,0.72,1.1,0.95,0.7,0.6,0.51,0.47,0.36,0.48,0.5,0.63,0.44,0.36,0.32,0.34
e_0,0.97,0.63,0.89,0.81,0.7,0.53,0.8,0.5,0.5,0.54,0.53,0.37,0.57,0.37,0.37,0.64
