,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.12,4.43,2.51,5.88,5.14,4.55,1.49,1.42,0.98,0.95,1.24,1.06,0.79,0.97,2.2,0.84
d_1,5.69,1.11,4.24,4.86,5.22,4.1,1.2,0.74,0.83,2.64,0.83,0.7,0.66,0.84,0.8,0.4
f_1,4.13,4.67,1.12,4.5,4.98,4.42,0.97,1.54,0.86,0.97,1.61,0.87,0.48,0.82,0.81,0.86
c_1,3.97,6.46,5.79,1.12,5.19,4.21,1.29,2.3,2.08,0.54,1.13,1.06,0.69,1.05,1.04,0.6
b_1,6.02,5.81,6.45,2.82,1.12,5.09,1.67,1.73,1.5,1.08,1.11,2.46,0.88,1.28,1.39,0.81
a_1,8.08,7.69,10.24,8.53,3.44,1.14,2.6,2.25,1.9,2.34,1.83,3.04,1.07,4.67,1.34,1.16
h_1,13.02,13.02,13.43,15.26,15.11,17.08,1.77,3.82,2.72,2.99,2.9,2.92,3.89,2.48,2.36,2.29
g_1,19.94,17.57,17.05,20.79,17.12,16.81,4.02,1.76,3.39,4.57,3.21,3.69,1.89,3.53,3.41,4.44
c_0,19.83,9.86,19.38,39.71,31.85,23.88,5.4,4.61,2.15,7.17,3.68,3.95,3.24,4.22,3.88,3.06
d_0,10.8,48.76,20.92,21.51,19.75,17.66,6.11,7.43,4.7,2.18,4.5,4.62,3.0,4.51,4.45,3.82
f_0,21.68,18.13,46.08,23.29,24.89,22.35,6.47,4.2,4.44,5.68,2.18,4.14,3.55,4.22,4.56,2.26
b_0,21.95,20.61,25.07,38.71,48.56,20.8,6.47,5.79,2.59,4.97,4.22,2.29,3.78,4.78,4.56,2.84
h_0,30.09,28.61,35.52,28.68,25.53,30.45,11.73,9.81,7.2,6.44,5.72,5.44,6.09,5.6,4.96,4.8
a_0,38.35,25.09,29.4,37.77,41.72,51.24,8.8,9.81,5.84,6.44,6.46,2.94,4.21,2.43,6.22,4.86
e_0,53.69,28.61,45.47,31.28,29.62,25.31,7.93,8.11,7.45,6.64,2.83,6.71,4.69,6.64,2.47,4.49
g_0,39.21,32.06,38.31,30.07,34.85,40.4,7.39,15.02,7.53,8.76,6.31,7.72,3.92,5.76,6.88,9.34
