,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.07,10.06,7.93,9.69,9.04,7.59,2.3,2.52,2.34,4.03,2.64,,1.33,2.66,2.36,1.54
e_1,6.36,1.07,7.76,8.35,7.92,8.06,3.93,3.52,2.24,2.67,3.02,3.0,2.23,2.23,,2.82
d_1,11.13,11.35,1.07,8.32,12.32,6.8,4.69,,3.98,2.0,2.45,2.66,2.35,2.5,2.69,1.73
c_1,9.27,12.92,12.35,1.07,9.5,8.68,2.86,1.82,,3.33,2.88,3.24,2.83,3.01,3.09,2.13
b_1,10.85,9.95,8.83,7.43,1.07,11.66,4.04,3.66,3.5,3.45,,2.77,2.21,2.59,2.24,2.94
a_1,19.74,13.76,19.45,14.6,9.4,1.07,5.31,4.64,3.91,6.34,,4.78,2.86,,3.69,2.47
h_1,17.11,14.24,14.95,19.18,11.44,12.58,1.41,3.72,4.65,5.38,3.4,3.37,,2.81,2.5,2.98
d_0,13.71,9.4,,17.02,11.62,12.3,6.3,1.72,5.44,5.67,3.43,4.23,3.27,3.68,3.28,3.42
c_0,18.05,17.88,9.22,,14.71,13.46,5.02,3.91,1.7,5.31,4.41,3.65,3.61,3.48,3.48,3.09
g_1,14.2,23.87,22.32,15.15,20.61,13.3,4.98,5.63,5.18,1.41,6.09,4.74,2.97,3.89,3.42,
b_0,15.51,13.3,17.21,16.28,,,6.84,5.92,3.13,5.03,1.75,5.09,3.85,5.3,3.52,2.8
f_0,,20.22,17.6,16.04,18.12,13.02,7.46,5.52,4.57,4.68,5.63,1.75,3.92,,6.52,2.6
h_0,18.0,13.86,15.03,15.64,15.06,14.02,,3.95,4.76,7.01,4.89,4.28,,3.31,4.7,3.52
a_0,18.42,28.42,18.43,17.31,30.29,,8.18,6.94,6.32,9.01,4.01,,7.34,1.72,,
e_0,30.43,,26.5,19.9,31.82,15.92,10.21,6.75,9.46,9.96,6.6,3.45,4.36,,1.76,4.24
g_0,24.33,17.69,18.07,18.92,15.59,20.89,5.14,7.11,6.21,,6.64,5.59,3.59,,5.18,
