,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,1.0,0.98,1.01,0.91,1.45,0.72,1.08,1.05,0.71,0.71,1.08,0.86,1.06,0.96,0.86,0.95
f_1,1.03,1.0,1.02,1.31,0.87,0.8,0.84,1.11,0.91,0.91,0.85,0.94,0.84,0.64,0.96,1.01
d_1,0.97,0.98,1.0,1.0,1.03,0.98,1.05,0.81,1.05,1.28,0.95,1.12,1.02,1.11,0.93,0.81
e_1,1.09,0.77,1.01,1.0,1.03,1.1,0.98,1.06,1.4,0.98,1.09,1.01,1.13,1.36,1.06,1.18
b_1,0.69,1.15,0.98,0.98,1.0,1.6,1.23,1.0,1.08,1.07,0.99,0.98,1.01,0.93,1.02,0.95
a_1,1.39,1.24,1.02,0.92,0.63,1.0,0.93,1.22,1.07,1.04,0.95,1.12,1.02,1.25,1.01,1.19
h_1,0.96,1.16,0.94,1.03,0.87,1.03,1.0,1.07,1.03,1.03,0.92,1.01,1.02,0.83,0.99,1.21
g_1,0.93,0.95,1.23,0.92,1.05,0.8,0.93,1.0,0.95,0.95,1.36,0.92,0.81,1.07,1.05,1.03
d_0,1.44,1.01,0.99,0.7,1.02,0.91,1.0,0.98,1.0,0.83,1.21,0.92,0.96,1.08,1.04,1.02
c_0,1.29,1.07,0.77,0.95,0.87,0.99,1.03,0.99,1.13,1.0,1.04,1.49,1.09,1.24,1.19,1.11
f_0,1.04,1.12,1.05,0.89,0.96,0.98,1.02,0.74,0.9,0.97,1.0,1.11,1.04,1.51,1.31,0.87
b_0,1.17,1.12,0.88,0.98,1.07,0.86,0.99,1.05,1.02,0.7,0.87,1.0,1.13,1.06,1.56,1.05
h_0,0.93,1.17,1.01,0.92,0.91,0.92,0.96,1.29,1.04,0.98,1.02,0.88,1.0,0.97,0.98,1.14
e_0,1.04,1.61,0.97,0.84,1.1,0.82,1.11,0.9,0.89,0.8,0.69,0.91,1.12,1.0,1.07,0.98
a_0,1.12,0.99,1.06,0.94,0.95,0.96,1.01,0.98,0.96,0.85,0.76,0.62,1.02,0.89,1.0,1.06
g_0,1.06,1.0,1.2,0.88,1.03,0.84,0.84,0.99,0.99,0.93,1.14,0.93,0.88,0.99,0.94,1.0
