,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,15.2,0.61,0.44,0.68,0.55,0.64,0.95,1.8,0.94,0.95,0.97,0.93,0.93,1.16,0.91,0.52
f_1,1.47,16.71,0.54,0.5,0.43,0.4,0.69,0.92,0.72,0.86,0.87,0.36,0.86,0.85,0.86,0.49
d_1,0.49,0.65,17.92,0.45,0.53,0.54,1.0,0.43,0.83,1.91,1.2,1.08,1.0,0.98,1.03,1.01
c_1,0.46,0.56,0.55,17.56,1.19,0.57,0.89,0.85,0.83,0.33,0.68,0.74,1.03,0.75,0.9,1.06
b_1,0.46,0.5,0.63,0.54,19.19,1.36,0.81,0.77,0.8,0.83,0.4,1.06,0.83,0.61,0.78,1.05
a_1,0.45,0.58,0.66,0.69,0.58,28.09,0.86,0.89,0.8,1.08,1.03,1.09,0.89,0.46,0.85,0.95
h_1,0.61,1.17,0.85,0.61,0.56,0.63,5.19,1.26,1.62,1.07,0.96,1.11,0.71,1.28,2.42,1.35
d_0,0.72,0.68,0.35,2.17,0.76,0.78,1.06,2.92,1.04,0.71,1.17,1.13,1.43,1.02,1.08,1.09
g_1,0.54,0.56,1.53,0.74,0.66,0.48,1.08,0.86,6.82,1.07,1.28,2.49,1.23,1.31,0.76,1.47
c_0,0.69,0.86,0.74,0.57,0.59,0.73,1.13,1.3,1.3,3.05,3.32,1.25,1.49,1.64,1.45,1.36
b_0,0.93,0.89,0.71,0.81,0.43,0.35,1.58,1.1,1.44,1.13,4.07,1.5,1.71,3.81,1.13,1.03
f_0,0.49,0.36,0.97,0.88,0.8,0.73,1.29,1.15,1.4,1.03,1.19,3.81,1.47,1.28,1.6,4.2
h_0,0.73,1.13,0.67,0.88,0.84,0.49,0.71,1.02,1.79,0.99,1.34,1.16,0.71,1.26,1.47,1.38
a_0,0.64,0.97,1.03,0.72,0.58,0.28,1.46,1.26,1.33,1.12,1.29,1.48,1.87,4.88,1.82,1.35
g_0,0.53,0.57,1.68,0.75,0.76,0.71,0.93,0.79,0.74,1.22,1.25,2.14,1.19,0.96,1.05,1.56
e_0,0.35,0.98,1.15,0.84,0.64,0.66,1.29,1.11,1.3,1.23,1.55,1.37,1.58,1.41,1.51,4.82
