,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,0.44,0.92,1.93,1.8,1.85,1.42,0.59,0.55,0.46,0.37,0.44,0.4,0.38,0.27,0.73,0.27
f_1,1.61,0.43,1.7,1.96,1.51,1.7,0.33,0.52,0.31,0.31,0.65,0.33,0.28,0.16,0.3,0.3
d_1,1.87,2.06,0.42,1.75,1.89,1.67,0.48,0.34,0.28,0.73,0.29,0.32,0.32,0.23,0.39,0.15
c_1,1.57,1.74,2.47,0.4,1.73,2.14,0.52,0.44,0.57,0.22,0.34,0.34,0.4,0.32,0.37,0.26
b_1,1.87,2.34,2.01,1.02,0.38,2.28,0.64,0.56,0.58,0.45,0.48,1.18,0.52,0.33,0.35,0.35
a_1,2.35,2.44,2.21,2.54,1.21,0.33,0.72,0.84,0.51,0.73,0.52,0.61,1.29,0.36,0.52,0.44
h_1,2.65,3.07,2.32,2.63,2.82,2.46,0.33,1.04,0.57,0.61,0.56,0.52,0.55,0.67,0.54,0.41
g_1,2.83,3.35,2.94,2.97,2.89,2.74,0.66,0.31,0.65,0.57,0.67,0.6,0.61,0.31,0.71,0.65
c_0,3.01,3.85,1.67,8.07,3.8,2.96,0.98,0.89,0.37,0.88,0.63,0.72,0.84,0.53,0.7,0.46
d_0,1.9,3.23,4.85,3.44,3.75,2.95,1.02,1.09,0.75,0.38,0.64,0.69,0.76,0.59,0.71,0.53
f_0,3.51,7.05,3.09,3.47,3.7,2.9,1.09,0.65,0.66,0.7,0.32,0.62,0.7,0.52,0.63,0.3
b_0,3.5,3.69,2.61,5.12,8.12,3.32,0.83,1.07,0.33,0.7,0.74,0.33,0.64,0.54,0.55,0.46
a_0,4.08,3.82,3.72,4.06,5.71,5.93,1.11,1.3,0.66,0.74,0.79,0.39,0.3,0.63,0.54,0.53
h_0,3.76,4.41,4.31,4.25,3.59,2.94,1.55,0.96,0.68,0.74,0.81,0.78,0.79,0.81,0.72,0.58
e_0,6.78,5.45,3.36,4.38,4.81,3.16,1.07,1.43,0.81,0.76,0.39,0.75,0.86,0.64,0.31,0.49
g_0,4.18,5.13,3.95,4.73,4.66,4.15,0.93,1.48,0.77,0.99,0.92,0.79,0.91,0.49,0.79,0.85
