,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,15.14,1.28,0.47,0.45,0.51,0.44,0.88,0.74,0.71,0.91,0.89,0.36,0.8,0.89,0.72,1.0
e_1,0.63,14.94,0.72,0.5,0.47,0.62,0.95,2.27,0.88,1.09,0.95,1.15,0.87,0.86,0.74,0.85
c_1,0.51,0.53,17.23,0.56,1.31,0.51,0.73,0.75,0.7,0.33,0.79,0.85,0.88,0.9,0.72,0.89
d_1,0.61,0.49,0.44,19.76,0.49,0.64,0.82,0.49,1.11,1.94,1.15,0.8,1.14,1.01,0.79,1.05
b_1,0.6,0.44,0.54,0.68,19.63,1.29,0.96,0.64,0.77,0.7,0.31,1.01,0.9,0.65,0.71,1.1
a_1,0.54,0.44,0.62,0.65,0.56,30.56,1.0,0.98,0.91,0.91,0.87,1.25,1.0,0.46,1.28,0.77
h_1,1.19,0.66,0.75,0.82,0.63,0.57,4.77,1.13,1.44,1.16,1.46,1.03,0.75,1.02,1.43,1.6
d_0,0.69,0.57,2.25,0.41,0.58,0.73,1.0,2.65,1.27,0.92,1.48,1.21,1.51,1.3,1.27,1.05
g_1,0.54,0.62,0.79,1.37,0.8,0.55,0.98,0.73,6.17,0.9,1.14,2.44,1.3,1.31,1.41,0.75
c_0,0.73,0.65,0.48,0.9,0.54,0.6,1.39,1.3,1.26,3.37,3.95,1.23,1.57,1.66,1.44,1.15
b_0,0.9,0.73,0.87,0.74,0.37,0.48,1.33,1.38,1.18,1.01,3.59,1.27,1.56,3.69,1.56,1.2
f_0,0.44,0.54,0.91,0.84,0.82,0.53,1.26,1.38,1.4,0.93,1.26,4.37,2.01,1.88,4.75,1.05
h_0,1.32,0.69,0.59,0.83,0.65,0.67,0.81,0.99,1.71,0.85,1.38,1.25,0.59,1.21,1.5,1.67
a_0,0.81,0.85,0.93,0.72,0.76,0.39,1.21,1.16,1.22,1.28,0.93,1.3,1.57,4.52,1.37,1.4
e_0,0.55,0.35,0.92,1.25,0.81,0.7,1.07,0.9,1.64,1.4,1.4,1.0,1.61,1.25,4.54,1.19
g_0,0.57,0.65,0.86,1.52,0.73,0.66,1.03,0.99,0.74,1.03,1.07,2.41,1.05,1.04,1.67,0.78
