,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.42,0.69,0.6,0.71,0.68,0.64,0.3,0.34,0.28,0.32,0.28,0.34,0.19,0.26,0.29,0.28
e_1,0.48,0.41,0.71,0.79,0.69,0.62,0.38,0.45,0.31,0.37,0.32,0.39,0.27,0.36,0.27,0.38
d_1,0.74,0.8,0.4,0.63,0.58,0.54,0.36,0.27,0.33,0.42,0.33,0.29,0.25,0.3,0.18,0.28
c_1,0.65,0.53,0.77,0.38,0.82,0.74,0.37,0.34,0.33,0.2,0.29,0.3,0.25,0.32,0.25,0.28
b_1,0.73,0.7,0.74,0.42,0.34,0.78,0.34,0.37,0.39,0.28,0.4,0.29,0.3,0.29,0.31,0.32
a_1,0.77,0.71,0.73,0.71,0.39,0.3,0.38,0.37,0.33,0.3,0.41,0.28,0.28,0.37,0.27,0.3
h_1,0.67,0.62,0.64,0.61,0.62,0.58,0.24,0.37,0.25,0.3,0.28,0.28,0.28,0.25,0.27,0.29
g_1,0.68,0.58,0.65,0.63,0.64,0.64,0.26,0.22,0.29,0.28,0.29,0.3,0.2,0.27,0.25,0.32
c_0,0.74,0.69,0.41,0.88,0.64,0.57,0.36,0.35,0.23,0.35,0.34,0.28,0.24,0.29,0.22,0.27
d_0,0.63,0.42,0.71,0.8,0.64,0.71,0.36,0.4,0.31,0.23,0.28,0.31,0.25,0.26,0.24,0.28
b_0,0.67,0.63,0.5,0.83,0.76,0.51,0.34,0.35,0.18,0.33,0.22,0.3,0.24,0.41,0.23,0.27
f_0,0.87,0.61,0.6,0.61,0.68,0.63,0.35,0.27,0.27,0.26,0.27,0.21,0.24,0.25,0.17,0.31
h_0,0.69,0.6,0.59,0.65,0.57,0.54,0.37,0.37,0.27,0.3,0.26,0.3,0.29,0.25,0.24,0.24
a_0,0.71,0.56,0.58,0.62,0.85,0.76,0.37,0.33,0.26,0.32,0.17,0.3,0.24,0.2,0.23,0.31
g_0,0.69,0.61,0.67,0.69,0.54,0.49,0.27,0.41,0.24,0.31,0.27,0.33,0.19,0.29,0.26,0.26
e_0,0.75,0.7,0.63,0.62,0.63,0.58,0.3,0.27,0.26,0.29,0.26,0.17,0.25,0.24,0.26,0.18
