,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.3,1.04,0.53,0.54,0.47,0.34,0.93,1.18,0.76,0.84,1.03,0.55,1.29,1.07,1.31,0.86
e_1,0.62,2.3,0.46,0.8,0.49,0.36,1.13,2.19,0.92,1.26,1.21,1.17,1.29,1.0,1.35,0.51
d_1,0.64,0.57,2.41,0.37,0.48,0.51,1.03,0.58,0.9,2.26,1.36,1.22,1.66,0.93,1.37,0.94
c_1,0.63,0.52,0.54,2.43,0.94,0.43,0.95,1.0,0.99,0.41,0.79,1.17,1.68,0.99,1.16,0.91
b_1,0.54,0.5,0.58,0.64,2.61,0.84,0.99,1.05,0.91,1.06,0.48,1.09,1.35,0.71,1.35,0.93
a_1,0.62,0.57,0.65,0.57,0.46,3.13,1.32,1.19,0.97,1.18,1.37,1.1,1.46,0.62,1.29,0.87
h_1,1.01,0.6,0.69,0.74,0.61,0.47,3.03,1.4,1.46,1.4,1.27,1.15,1.15,1.06,2.26,1.07
d_0,0.73,0.75,0.39,1.35,0.57,0.39,1.41,2.67,0.9,1.15,1.25,1.58,1.74,1.09,1.87,1.17
g_1,0.76,0.57,1.14,0.7,0.55,0.49,1.15,0.98,3.37,1.32,1.42,2.07,1.64,0.96,0.98,1.03
c_0,0.79,0.79,0.83,0.48,0.39,0.49,1.43,1.58,1.02,2.82,3.01,1.39,1.86,1.69,2.03,1.18
b_0,0.78,0.77,0.83,0.66,0.3,0.3,1.65,1.67,1.24,1.63,2.81,1.46,1.77,2.63,1.84,1.31
f_0,0.46,0.62,0.79,0.73,0.72,0.52,1.61,1.62,1.23,1.65,1.68,2.81,1.9,1.27,1.6,2.34
h_0,0.98,0.65,0.76,0.71,0.7,0.45,0.81,1.23,1.74,1.17,1.38,1.27,1.32,1.18,2.01,0.89
a_0,0.85,0.75,0.73,0.73,0.55,0.35,1.48,1.83,1.19,1.44,1.42,1.59,2.17,3.01,1.58,1.15
g_0,0.66,0.62,1.06,0.76,0.61,0.6,1.23,1.29,0.79,1.29,1.53,2.22,1.71,1.12,1.04,1.12
e_0,0.84,0.45,0.78,0.7,0.66,0.5,1.8,1.4,1.27,1.53,1.65,1.38,2.08,1.08,1.56,3.42
