,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,1.1,3.82,2.98,3.0,3.1,2.87,0.81,0.93,0.55,0.6,0.61,0.55,0.39,0.53,0.47,0.28
e_1,3.32,1.11,1.81,3.22,3.24,3.01,0.92,0.7,1.04,0.73,0.79,0.66,0.49,0.66,1.27,0.54
f_1,2.9,2.73,1.1,3.36,3.58,3.14,0.63,0.68,1.04,0.58,0.87,0.55,0.33,0.56,0.56,0.5
c_1,3.99,2.64,3.55,1.11,3.02,3.47,0.91,0.39,1.0,0.96,0.61,0.62,0.49,0.65,0.65,0.54
b_1,4.24,4.01,5.35,2.26,1.12,3.55,1.2,0.76,1.21,1.23,0.78,2.0,0.63,0.87,0.8,0.63
a_1,5.67,4.6,5.49,6.3,2.72,1.13,1.9,1.17,1.73,1.26,1.23,1.52,0.93,1.96,1.27,0.81
h_1,11.37,11.15,13.55,12.23,10.55,10.1,1.66,2.52,4.22,2.35,2.55,2.64,2.63,2.38,2.09,1.92
d_0,19.99,8.33,13.49,14.32,16.63,13.06,4.19,2.09,4.36,3.0,2.67,3.02,2.26,2.82,2.87,2.57
g_1,14.23,14.07,15.31,16.49,17.05,10.46,3.1,3.58,1.67,3.08,2.69,3.09,1.83,3.1,2.98,2.64
c_0,8.35,17.98,15.73,25.71,15.4,12.5,4.63,5.17,4.19,1.93,3.25,3.68,2.47,3.05,2.96,2.46
f_0,14.95,17.19,24.74,16.92,16.94,14.24,4.77,3.56,3.21,3.69,1.99,3.41,2.5,2.78,3.16,1.53
b_0,13.48,15.58,17.51,24.01,22.22,15.3,4.94,4.55,4.39,1.91,3.53,2.01,2.46,3.89,3.63,2.42
h_0,19.88,19.28,22.76,20.03,24.87,18.64,8.21,4.74,5.69,4.3,4.31,3.91,4.17,4.09,3.7,3.09
a_0,19.88,26.84,24.92,25.31,27.66,34.17,6.03,6.83,4.81,4.33,4.35,2.52,3.68,2.26,4.14,3.39
e_0,19.44,38.34,41.63,26.12,22.04,19.16,6.75,5.25,5.15,4.67,2.59,5.18,3.51,4.01,2.26,3.17
g_0,22.81,27.91,30.21,21.34,21.18,24.4,5.73,5.94,8.96,5.03,5.23,5.65,2.99,5.03,4.64,3.91
