,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.89,0.19,0.16,0.23,0.13,0.1,0.17,0.14,0.32,0.18,0.16,0.12,0.14,0.18,0.04,0.09
f_1,0.36,0.89,0.16,0.16,0.13,0.09,0.14,0.1,0.15,0.14,0.15,0.04,0.1,0.14,0.07,0.11
d_1,0.17,0.21,0.89,0.14,0.14,0.09,0.19,0.15,0.09,0.32,0.19,0.15,0.12,0.16,0.11,0.15
c_1,0.19,0.17,0.19,0.88,0.3,0.08,0.16,0.14,0.15,0.06,0.1,0.11,0.12,0.14,0.1,0.11
b_1,0.19,0.22,0.18,0.15,0.88,0.19,0.14,0.16,0.15,0.09,0.05,0.13,0.09,0.19,0.09,0.12
a_1,0.18,0.21,0.17,0.17,0.16,0.87,0.18,0.15,0.14,0.17,0.16,0.14,0.08,0.2,0.12,0.12
h_1,0.19,0.34,0.22,0.22,0.18,0.1,0.56,0.23,0.17,0.17,0.18,0.16,0.14,0.11,0.13,0.2
g_1,0.24,0.17,0.34,0.24,0.16,0.08,0.2,0.56,0.21,0.18,0.17,0.24,0.15,0.23,0.12,0.08
d_0,0.26,0.22,0.12,0.39,0.18,0.11,0.2,0.16,0.42,0.15,0.18,0.16,0.14,0.2,0.13,0.14
c_0,0.24,0.24,0.25,0.15,0.15,0.11,0.2,0.17,0.23,0.44,0.41,0.22,0.19,0.26,0.14,0.16
b_0,0.27,0.26,0.22,0.21,0.1,0.09,0.21,0.16,0.23,0.22,0.46,0.19,0.34,0.23,0.13,0.14
f_0,0.2,0.13,0.24,0.22,0.15,0.19,0.18,0.16,0.28,0.24,0.19,0.43,0.18,0.27,0.29,0.17
a_0,0.26,0.26,0.23,0.2,0.21,0.05,0.22,0.16,0.2,0.21,0.22,0.2,0.36,0.22,0.18,0.18
h_0,0.24,0.35,0.24,0.24,0.18,0.11,0.11,0.18,0.19,0.18,0.18,0.13,0.13,0.11,0.15,0.21
e_0,0.16,0.27,0.22,0.25,0.17,0.14,0.26,0.18,0.19,0.19,0.19,0.17,0.14,0.2,0.38,0.19
g_0,0.19,0.24,0.41,0.22,0.14,0.1,0.18,0.12,0.18,0.23,0.18,0.28,0.13,0.2,0.15,0.1
