,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,104.22,20.41,14.18,19.09,21.4,75.51,1376.42,4494.38,5295.38,4736.04,,7658.97,16990.91,25080.76,19184.56,52481.72
e_1,8.6,104.48,13.99,19.36,30.71,88.41,1502.72,6683.68,4052.32,5612.72,7152.61,7220.73,18634.23,32188.6,,40808.99
d_1,10.94,14.46,131.87,16.97,17.8,74.97,1132.92,,2878.23,9528.6,6554.56,6949.2,17384.1,20707.04,22020.31,38504.93
c_1,10.72,7.09,11.94,144.88,37.4,65.56,1688.28,4192.23,2874.73,,6220.26,5821.02,19886.65,23019.97,23496.69,42107.82
b_1,11.37,7.08,13.15,11.09,184.22,120.26,1223.31,3786.96,3081.66,3609.88,7791.93,,16778.45,20732.76,21468.05,32963.89
a_1,7.3,6.03,8.13,9.3,10.85,528.65,979.24,2583.06,1984.49,2953.03,3284.4,5077.82,,11404.59,11575.29,21679.78
h_1,6.46,6.3,8.54,7.85,12.76,33.99,2715.7,2125.6,2189.04,2462.84,2659.42,3315.2,9182.84,,8655.65,29103.97
d_0,5.68,4.27,,10.92,7.64,27.41,743.35,4458.16,1542.33,2494.03,3330.46,2334.74,9285.15,11270.14,11222.5,17590.94
g_1,2.61,3.96,8.97,5.95,7.22,35.36,553.31,1581.96,5768.58,1473.63,2644.64,3513.74,7441.48,10144.0,6482.81,
c_0,5.85,4.35,3.37,,8.5,24.63,743.04,1272.01,1851.66,5122.38,3473.18,4763.64,10321.22,12645.68,7127.61,17572.29
f_0,,3.65,6.13,7.2,6.55,29.71,673.81,1598.76,1501.64,1744.73,6926.5,2927.49,6699.77,10105.19,10772.31,12147.7
b_0,4.35,4.01,6.61,6.82,,20.08,652.75,1695.03,931.37,1432.6,2228.19,7215.62,14478.15,7666.77,6632.9,13451.79
a_0,3.51,3.99,4.41,3.18,5.76,,419.59,1057.33,1153.23,1004.1,2186.35,1212.5,16048.41,,,9873.05
h_0,3.96,3.34,5.28,5.89,7.41,27.82,,1235.46,1430.07,1434.13,2141.93,2203.52,,,7504.99,14648.03
e_0,3.43,,3.67,4.2,6.16,22.82,447.65,1039.77,920.12,1382.92,2063.82,1678.15,,6046.99,17552.19,
g_0,2.57,2.58,5.78,3.58,5.35,18.47,367.76,1049.1,,983.43,2899.08,2158.25,5269.16,7522.88,,
