,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.65,1.34,1.32,2.1,3.93,19.48,29.39,45.38,40.45,46.89,51.15,73.78,90.54,179.21,
f_1,1.53,1.0,1.31,1.34,1.6,4.63,14.77,23.02,29.96,31.79,46.89,,64.97,96.94,102.67,141.59
d_1,0.74,0.76,1.0,1.0,1.34,3.31,15.82,17.22,,34.79,30.62,33.07,61.91,77.92,78.29,101.69
c_1,0.76,0.75,1.0,1.0,2.27,2.72,16.18,22.19,16.38,,29.95,31.96,67.64,68.74,80.64,94.96
b_1,0.48,0.63,0.75,0.44,1.0,2.88,11.34,17.8,11.73,19.27,,33.51,35.44,44.98,63.6,73.38
a_1,0.25,0.22,0.3,0.37,0.35,1.0,6.04,6.06,6.97,9.14,11.53,13.35,24.53,,,
h_1,0.05,0.07,0.06,0.06,0.09,0.17,1.0,1.57,1.63,1.6,1.97,2.3,,5.43,6.27,6.99
g_1,0.03,0.04,0.06,0.05,0.06,0.17,0.64,1.0,0.97,1.0,1.69,1.98,2.79,3.27,,4.83
d_0,0.02,0.03,,0.06,0.09,0.14,0.61,1.03,1.0,1.1,1.71,1.28,3.27,3.46,5.11,4.29
c_0,0.02,0.03,0.03,,0.05,0.11,0.63,1.0,0.91,1.0,1.91,0.91,2.55,2.18,4.72,4.34
b_0,0.02,0.02,0.03,0.03,,0.09,0.51,0.59,0.58,0.52,1.0,1.12,1.84,3.42,2.27,2.84
f_0,0.02,,0.03,0.03,0.03,0.07,0.44,0.5,0.78,1.1,0.89,1.0,1.91,1.86,2.06,4.04
h_0,0.01,0.02,0.02,0.01,0.03,0.04,,0.36,0.31,0.39,0.54,0.52,,1.19,2.04,1.73
a_0,0.01,0.01,0.01,0.01,0.02,,0.18,0.31,0.29,0.46,0.29,0.54,0.84,1.0,1.59,
g_0,0.01,0.01,0.01,0.01,0.02,,0.16,,0.2,0.21,0.44,0.48,0.49,0.63,,1.19
e_0,,0.01,0.01,0.01,0.01,,0.14,0.21,0.23,0.23,0.35,0.25,0.58,,0.84,1.0
