,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,2.42,1.21,1.47,1.22,1.1,1.35,2.17,2.12,4.11,2.6,2.6,2.57,2.74,3.19,1.95,3.47
f_1,1.85,2.53,1.32,1.14,1.1,1.02,1.73,2.25,2.61,2.73,2.58,1.53,2.45,3.11,2.29,3.11
c_1,1.02,1.17,2.58,1.18,2.0,1.12,2.49,2.36,2.26,2.15,1.39,3.01,2.8,3.23,2.65,3.48
d_1,1.08,1.28,1.15,2.61,1.26,1.2,2.66,2.42,2.29,3.15,4.14,2.87,2.64,2.9,3.07,2.65
b_1,1.24,1.3,1.01,1.18,2.73,2.12,2.39,2.13,2.29,1.67,2.83,2.35,2.14,3.78,2.63,3.65
a_1,1.17,1.36,1.28,1.37,0.99,3.1,3.24,2.75,2.68,2.81,2.56,2.63,2.35,3.76,2.87,3.32
h_1,1.29,2.0,1.18,1.34,1.43,1.02,4.1,3.29,2.82,2.83,2.97,2.59,3.07,3.1,3.46,4.58
g_1,1.27,1.29,1.32,1.89,1.26,0.99,2.39,4.45,2.5,2.88,2.73,4.09,2.61,3.22,3.63,3.02
d_0,1.1,1.41,2.24,0.96,1.51,1.25,2.52,2.5,4.0,3.16,2.19,2.88,3.02,4.1,3.25,3.46
b_0,1.35,1.35,1.5,1.46,0.94,1.14,2.68,2.64,2.67,4.26,3.02,3.27,5.65,4.17,3.3,3.5
c_0,1.47,1.47,1.24,1.28,1.09,1.43,2.62,2.57,3.5,4.71,4.19,3.28,3.39,4.01,3.41,3.65
f_0,1.21,1.16,1.42,1.41,1.63,1.26,2.71,2.45,2.88,3.11,2.87,4.58,3.61,4.07,5.64,3.15
a_0,1.3,1.49,1.32,1.57,1.6,0.98,2.42,2.74,3.09,2.66,2.88,2.73,4.86,4.55,3.13,4.49
h_0,1.37,1.84,1.39,1.52,1.2,1.17,2.08,3.32,2.48,2.68,2.71,2.87,3.09,2.95,2.63,4.13
e_0,1.2,1.66,1.5,1.31,1.26,1.05,2.44,2.36,2.83,3.26,3.05,2.82,3.83,4.36,5.07,4.2
g_0,1.41,1.19,1.29,2.08,1.19,1.18,2.18,1.91,2.8,3.39,2.89,4.29,3.13,3.36,3.07,3.26
