,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,0.16,0.41,0.41,0.37,0.33,0.29,0.09,0.07,0.11,0.06,0.07,0.07,0.05,0.07,0.04,0.06
f_1,0.34,0.16,0.35,0.39,0.35,0.35,0.08,0.1,0.08,0.07,0.07,0.09,0.04,0.06,0.05,0.06
e_1,0.41,0.23,0.16,0.39,0.34,0.36,0.1,0.11,0.08,0.08,0.08,0.09,0.05,0.08,0.06,0.08
c_1,0.47,0.36,0.3,0.14,0.34,0.32,0.09,0.1,0.04,0.09,0.07,0.07,0.05,0.06,0.05,0.07
b_1,0.39,0.4,0.34,0.21,0.13,0.36,0.11,0.1,0.07,0.1,0.12,0.07,0.06,0.07,0.05,0.07
a_1,0.34,0.42,0.36,0.38,0.19,0.09,0.13,0.12,0.09,0.09,0.09,0.07,0.06,0.13,0.05,0.07
h_1,0.31,0.33,0.32,0.33,0.31,0.28,0.05,0.1,0.07,0.06,0.07,0.06,0.07,0.06,0.05,0.06
g_1,0.32,0.34,0.32,0.3,0.35,0.28,0.07,0.05,0.07,0.07,0.07,0.07,0.04,0.06,0.06,0.06
d_0,0.41,0.31,0.21,0.36,0.32,0.3,0.11,0.1,0.05,0.08,0.08,0.07,0.06,0.06,0.05,0.08
c_0,0.2,0.34,0.36,0.57,0.36,0.3,0.1,0.09,0.1,0.05,0.07,0.07,0.05,0.06,0.05,0.07
b_0,0.27,0.35,0.31,0.47,0.4,0.28,0.1,0.09,0.07,0.04,0.05,0.07,0.04,0.06,0.04,0.05
f_0,0.3,0.39,0.32,0.3,0.32,0.33,0.1,0.06,0.07,0.07,0.07,0.04,0.05,0.06,0.03,0.08
h_0,0.3,0.32,0.33,0.32,0.35,0.29,0.12,0.09,0.07,0.06,0.06,0.07,0.05,0.05,0.05,0.05
a_0,0.31,0.39,0.35,0.33,0.3,0.36,0.1,0.1,0.08,0.06,0.04,0.06,0.05,0.03,0.04,0.05
g_0,0.31,0.34,0.33,0.32,0.29,0.29,0.08,0.13,0.07,0.07,0.07,0.07,0.04,0.06,0.05,0.07
e_0,0.3,0.43,0.39,0.33,0.34,0.28,0.08,0.07,0.06,0.05,0.07,0.03,0.05,0.06,0.04,0.03
