,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,0.96,0.67,0.6,0.5,0.51,0.39,0.46,0.59,0.35,0.33,0.43,0.34,0.37,0.3,0.29,0.28
f_1,0.6,0.96,0.91,0.56,0.47,0.38,0.39,0.35,0.37,0.43,0.34,0.28,0.35,0.27,0.3,0.21
e_1,0.64,0.61,0.96,0.68,0.56,0.42,0.43,0.39,0.37,0.59,0.38,0.38,0.39,0.29,0.34,0.26
c_1,0.75,0.65,0.59,0.95,0.88,0.41,0.37,0.35,0.35,0.35,0.27,0.33,0.38,0.26,0.31,0.29
b_1,0.75,0.67,0.62,0.48,0.95,0.77,0.48,0.44,0.38,0.39,0.4,0.4,0.39,0.28,0.38,0.29
a_1,0.84,0.84,0.72,0.72,0.51,0.94,0.53,0.46,0.47,0.46,0.47,0.39,0.44,0.29,0.43,0.29
h_1,1.0,1.13,0.92,0.94,0.62,0.55,0.8,0.57,0.68,0.56,0.49,0.51,0.48,0.4,0.52,0.39
c_0,0.97,1.11,1.05,0.79,0.7,0.67,0.72,0.76,0.63,0.65,0.92,0.51,0.6,0.58,0.54,0.48
g_1,1.3,0.96,0.87,0.92,0.77,0.57,0.58,0.61,0.8,0.5,0.58,0.66,0.52,0.45,0.44,0.51
d_0,0.94,0.99,0.88,1.28,0.95,0.64,0.63,0.54,0.56,0.73,0.58,0.51,0.54,0.41,0.49,0.41
b_0,1.04,1.12,1.04,1.12,0.71,0.59,0.75,0.57,0.61,0.6,0.76,0.59,0.63,0.75,0.55,0.52
f_0,1.21,1.01,0.91,1.01,0.92,0.72,0.75,0.7,0.62,0.62,0.59,0.74,0.62,0.52,0.52,0.76
h_0,1.22,1.35,1.1,0.94,0.92,0.63,0.71,0.65,0.68,0.67,0.58,0.59,0.57,0.49,0.7,0.43
a_0,1.21,1.32,1.13,1.08,0.88,0.61,0.85,0.71,0.69,0.71,0.54,0.62,0.72,0.71,0.63,0.53
g_0,1.59,1.14,1.03,1.07,0.86,0.63,0.75,0.78,0.67,0.65,0.64,0.81,0.6,0.51,0.57,0.55
e_0,1.27,1.39,0.97,1.06,0.92,0.84,0.82,0.75,0.67,0.74,0.66,0.51,0.73,0.49,0.55,0.66
