,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.97,1.22,0.71,0.7,0.59,0.62,0.93,0.87,0.96,0.86,1.03,0.66,0.94,1.07,0.78,0.91
e_1,0.76,2.0,0.64,0.95,0.79,0.67,0.84,0.94,1.74,0.95,1.01,0.96,1.07,1.04,0.67,0.97
d_1,0.84,0.68,2.28,0.57,0.73,0.67,1.12,1.05,0.62,1.72,1.13,1.12,1.13,1.09,1.17,1.16
c_1,0.71,0.65,0.81,2.39,1.42,0.62,0.89,0.8,0.77,0.44,0.7,0.92,0.86,0.91,0.87,0.82
b_1,0.75,0.81,0.7,0.75,2.53,1.52,0.91,0.85,0.77,0.89,0.6,0.9,0.81,0.57,0.95,0.86
a_1,0.81,0.73,0.81,0.77,0.73,3.53,0.97,0.84,0.91,1.04,0.91,0.97,1.12,0.57,1.1,1.09
h_1,1.22,0.74,0.89,0.73,0.7,0.72,1.93,1.34,0.79,0.89,1.14,1.01,0.8,1.16,0.99,1.39
g_1,0.7,0.79,1.36,0.82,0.67,0.88,1.01,2.4,0.85,0.96,0.95,1.64,1.13,0.85,1.33,0.86
d_0,0.84,0.79,0.62,1.63,0.79,0.7,0.99,0.96,1.67,0.71,1.08,0.96,1.05,1.06,0.93,0.95
c_0,0.97,0.8,0.95,0.69,0.58,0.83,1.16,1.09,1.13,1.71,1.97,1.24,1.05,1.36,1.13,1.18
b_0,0.99,0.78,1.01,0.93,0.47,0.66,1.08,1.16,0.99,1.1,1.89,1.07,1.17,2.26,1.18,1.18
f_0,0.7,0.6,1.0,1.06,0.81,0.92,1.25,1.2,1.07,1.14,1.25,2.2,1.15,1.13,2.49,1.16
h_0,1.11,0.78,0.93,0.88,0.71,0.73,0.73,1.38,0.95,0.99,1.12,1.04,0.89,0.97,1.24,1.31
a_0,0.92,0.83,1.01,0.94,0.75,0.51,1.01,1.19,1.01,0.9,1.02,1.13,1.11,2.5,1.0,1.11
e_0,0.97,0.62,1.02,0.97,0.66,0.87,1.17,1.37,0.92,1.12,1.3,1.32,1.18,0.9,2.6,1.03
g_0,0.75,0.68,1.37,0.9,0.75,0.55,1.05,1.0,0.85,1.03,1.14,1.63,1.17,1.09,1.12,1.06
