,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,38.23,0.07,0.07,0.06,0.06,0.05,0.3,0.77,0.48,0.25,0.38,0.23,0.44,0.35,,0.48
f_1,0.11,39.63,0.08,0.08,0.05,0.05,0.26,0.35,0.38,0.33,0.43,,0.63,0.44,0.27,0.48
c_1,0.08,0.05,39.93,0.07,0.14,0.07,0.26,0.37,,0.25,0.25,0.38,0.69,0.52,0.39,0.6
d_1,0.06,0.05,0.07,40.03,0.09,0.07,0.22,,0.69,0.31,0.49,0.4,0.62,0.27,0.31,0.48
b_1,0.04,0.09,0.06,0.06,48.82,0.12,0.32,0.39,0.56,0.29,,0.43,0.55,0.32,,0.38
a_1,0.06,0.07,0.06,0.07,0.04,67.03,0.4,0.4,0.29,0.28,0.41,0.51,0.39,,0.45,0.53
h_1,0.24,0.29,0.26,0.22,0.29,0.25,27.37,1.38,1.45,1.37,1.52,1.58,,,2.04,3.57
d_0,0.36,0.46,0.65,,0.29,0.36,1.47,17.21,1.53,1.21,1.7,2.18,3.26,1.24,1.84,4.02
c_0,0.34,0.33,,0.26,0.33,0.43,1.45,2.15,17.34,1.4,3.1,1.52,3.51,2.67,2.48,3.65
g_1,0.26,0.16,0.2,0.42,0.21,0.22,1.06,1.66,1.51,34.93,1.47,2.24,2.57,1.17,1.38,
b_0,0.4,0.39,0.39,0.41,,0.28,1.37,1.7,2.14,1.21,21.66,1.33,3.51,3.7,1.51,2.31
f_0,0.32,,0.4,0.41,0.32,0.43,1.71,2.12,1.73,1.75,1.82,20.53,3.42,,3.62,2.93
h_0,0.56,0.87,0.61,0.61,0.56,0.65,,2.16,2.69,2.51,2.86,1.78,,2.65,3.55,6.15
a_0,0.35,0.37,0.39,0.43,0.32,,1.32,1.75,1.47,1.48,1.27,1.57,4.63,32.41,2.16,2.63
e_0,,0.35,0.21,0.34,0.39,,2.98,1.86,2.1,1.59,1.76,2.74,2.33,2.16,31.67,2.25
g_0,0.4,0.52,0.49,0.76,0.55,0.51,2.25,2.69,2.18,,2.86,7.06,3.69,3.42,2.25,
