,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.15,93.57,48.03,129.04,80.05,95.5,25.14,24.34,18.51,13.72,19.61,22.48,14.57,17.04,,13.65
d_1,124.64,1.15,94.72,93.85,128.78,87.54,27.5,13.07,15.07,,15.69,14.36,17.74,16.33,19.6,6.96
f_1,89.49,104.91,1.15,77.42,98.73,100.05,20.95,27.15,18.51,17.05,,16.68,7.56,18.67,16.33,16.14
c_1,96.94,115.4,126.3,1.15,134.64,87.54,19.13,47.07,,8.76,21.12,19.15,14.07,23.06,26.13,13.15
b_1,129.26,119.38,110.0,48.39,1.15,100.05,29.33,24.34,24.92,19.12,20.33,,12.36,30.15,,16.14
a_1,134.23,115.4,200.59,140.77,72.24,1.15,41.9,50.43,34.11,35.06,,43.08,31.38,,17.82,22.19
h_1,96.94,101.82,87.44,86.03,80.05,116.72,2.0,22.77,16.2,15.77,18.93,20.68,,15.68,15.68,14.2
g_1,120.34,119.38,110.0,206.47,128.78,105.05,27.5,2.0,22.34,42.07,17.71,21.54,9.71,30.15,19.6,
c_0,94.32,46.78,100.29,,128.78,116.72,24.44,27.15,2.87,35.06,17.71,17.23,10.46,23.06,23.06,16.9
d_0,52.88,,85.25,91.09,98.73,84.04,30.34,32.09,21.6,2.99,23.87,27.21,12.36,21.78,14.52,14.79
f_0,94.32,104.91,,93.85,113.92,,30.34,20.17,23.14,21.76,2.97,28.72,19.43,,24.5,11.09
b_0,116.33,128.22,121.79,238.23,,110.58,28.39,25.21,13.5,24.27,28.89,3.08,24.0,28.0,24.5,10.76
h_0,102.65,86.55,97.43,93.85,68.88,140.07,,47.07,32.4,18.56,18.3,14.77,,14.52,17.04,14.79
a_0,183.68,203.65,148.26,154.85,164.56,,48.89,54.31,28.17,37.12,,12.92,20.4,2.99,,22.19
e_0,,138.48,213.12,182.18,,116.72,67.69,47.07,30.86,42.07,12.77,47.0,20.4,,2.93,22.19
g_0,174.5,144.25,126.3,106.79,109.7,95.5,19.13,,25.92,31.55,24.95,28.72,11.33,17.04,24.5,
