,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.27,0.88,0.9,0.92,0.85,0.61,0.59,0.72,0.73,0.56,,0.49,0.51,0.66,0.58
e_1,0.79,1.0,0.9,0.89,0.81,0.79,0.74,0.91,0.73,0.83,0.54,0.64,0.51,0.55,,0.63
c_1,1.13,1.12,1.0,0.93,1.28,0.86,0.69,0.52,0.59,,0.7,0.71,0.67,0.49,0.45,0.57
d_1,1.11,1.13,1.07,1.0,0.97,0.85,0.63,,0.59,0.74,0.64,0.55,0.67,0.76,0.42,0.55
b_1,1.08,1.24,0.78,1.03,1.0,1.21,0.94,0.68,0.74,0.54,,0.61,0.7,0.48,0.42,0.67
a_1,1.18,1.26,1.16,1.18,0.83,1.0,0.94,0.84,,0.9,0.71,0.75,0.55,,,
h_1,1.63,1.35,1.44,1.58,1.06,1.06,1.0,1.03,0.98,0.94,0.94,0.74,,0.93,0.87,0.67
d_0,1.69,1.09,1.94,,1.46,1.19,0.97,1.0,1.04,0.87,0.98,1.05,1.15,0.76,0.9,0.88
g_1,1.39,1.37,1.7,1.7,1.35,,1.02,0.97,1.0,1.15,1.23,1.39,0.69,0.9,0.8,
c_0,1.37,1.21,,1.36,1.86,1.12,1.07,1.16,0.87,1.0,1.41,1.04,1.04,0.76,0.81,0.88
b_0,1.8,1.86,1.43,1.56,,1.41,1.06,1.02,0.81,0.71,1.0,0.96,0.87,,0.91,1.0
f_0,,1.57,1.4,1.82,1.65,1.34,1.35,0.95,0.72,0.97,1.04,1.0,1.16,1.36,1.46,0.56
h_0,2.06,1.95,1.5,1.5,1.42,1.8,,0.87,1.46,0.96,1.14,0.86,,0.9,0.84,1.34
a_0,1.97,1.8,2.04,1.31,2.07,,1.07,1.32,1.11,1.31,,0.74,1.12,1.0,,1.22
e_0,1.52,,2.24,2.38,2.37,,1.15,1.11,1.26,1.24,1.09,0.69,1.2,,1.0,
g_0,1.72,1.58,1.76,1.82,1.5,,1.49,1.13,,1.14,1.0,1.77,0.75,0.82,,
