,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.47,0.43,0.37,0.51,0.44,0.37,0.64,0.84,0.52,0.46,0.62,0.52,0.63,0.48,0.57,0.25
f_1,0.77,1.48,0.46,0.42,0.43,0.38,0.49,0.53,0.52,0.41,0.54,0.21,0.47,0.45,0.45,0.25
d_1,0.51,0.52,1.54,0.4,0.36,0.37,0.54,0.22,0.9,0.5,0.55,0.58,0.63,0.41,0.52,0.45
c_1,0.47,0.53,0.49,1.57,0.68,0.34,0.59,0.53,0.2,0.4,0.43,0.54,0.47,0.55,0.56,0.45
b_1,0.5,0.58,0.54,0.36,1.62,0.58,0.55,0.67,0.69,0.53,0.24,0.38,0.6,0.35,0.53,0.5
a_1,0.49,0.57,0.52,0.52,0.4,1.75,0.59,0.7,0.61,0.6,0.59,0.48,0.65,,0.6,0.52
h_1,0.67,1.0,0.73,0.7,0.68,0.64,1.65,0.89,0.78,0.86,0.79,0.9,0.68,0.58,1.01,0.64
d_0,0.75,0.84,0.58,1.22,0.64,0.5,0.83,1.44,0.84,0.8,0.94,1.03,1.07,0.64,0.84,0.75
c_0,0.84,0.91,0.74,0.52,0.59,0.65,1.06,1.02,1.5,0.76,1.45,1.06,1.03,0.95,0.99,0.81
g_1,0.84,0.68,1.08,0.83,0.59,0.49,0.74,0.79,0.94,1.82,0.88,1.28,0.72,0.61,0.46,0.89
b_0,0.77,0.85,0.91,0.83,0.53,0.53,1.01,0.84,0.71,0.78,1.57,0.93,1.15,1.31,1.06,0.89
f_0,0.67,0.44,0.87,0.86,0.98,0.71,0.79,0.94,0.81,0.9,1.04,1.6,1.16,0.79,0.76,1.48
h_0,0.77,1.17,0.81,0.95,0.61,0.69,0.45,0.9,0.88,1.08,0.95,0.72,0.59,0.58,1.07,0.89
a_0,0.84,0.84,1.06,0.73,0.87,,1.11,1.28,0.87,0.73,0.78,1.04,1.11,1.69,0.82,0.67
g_0,0.59,0.81,1.2,0.8,0.79,0.59,0.9,0.9,0.97,,1.02,1.43,0.98,0.92,0.67,0.93
e_0,0.46,1.26,0.84,0.97,0.77,0.76,0.97,0.96,0.91,0.72,0.79,0.84,1.13,0.8,0.96,1.75
