,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,0.41,3.78,3.63,3.41,3.44,3.41,1.82,1.12,1.99,,1.65,1.46,1.85,1.19,1.83,1.34
f_1,3.59,0.41,3.99,4.42,4.23,3.33,1.52,1.91,1.34,1.46,1.6,,1.42,1.18,1.23,1.65
e_1,3.95,2.18,0.4,3.89,3.16,3.75,3.07,1.75,1.72,1.85,2.8,1.52,1.48,1.11,,1.19
c_1,4.2,3.35,3.27,0.39,3.68,3.11,2.15,1.9,,0.92,1.9,1.97,1.68,1.57,1.78,1.08
b_1,4.2,3.12,3.92,2.32,0.37,4.28,2.04,1.76,1.71,1.96,,1.55,1.37,1.3,2.0,1.45
a_1,3.41,3.09,5.0,5.19,2.54,0.3,1.73,2.05,2.27,1.51,1.8,1.62,,1.22,,1.43
h_1,1.82,1.96,1.39,1.6,2.23,2.02,0.27,1.48,0.77,0.84,0.69,0.84,0.77,,0.73,0.72
g_1,2.5,1.98,2.23,2.43,1.55,1.79,0.68,0.24,0.72,0.79,1.15,1.01,0.84,0.41,0.8,
c_0,0.93,1.98,1.58,,1.71,1.22,0.77,1.07,0.29,0.93,0.78,0.71,0.96,0.75,0.65,0.56
d_0,,1.92,0.97,1.99,1.45,1.92,0.9,1.19,0.61,0.28,0.52,0.73,0.67,0.66,0.72,0.72
b_0,1.6,1.77,1.4,1.56,,1.95,0.82,0.68,0.52,0.85,0.26,0.69,0.93,0.69,0.71,0.59
f_0,1.7,,1.75,1.37,1.55,1.73,0.87,0.58,0.67,0.76,0.66,0.26,0.83,0.77,0.82,0.48
a_0,1.67,2.09,1.61,1.47,2.01,,0.72,0.84,0.79,0.88,0.52,0.73,0.23,0.61,0.78,0.52
h_0,1.4,1.08,1.82,1.17,1.35,1.17,,0.99,0.61,0.53,0.49,0.56,0.5,,0.51,0.46
e_0,1.35,2.29,,1.3,1.62,,0.76,0.76,0.74,0.69,0.88,0.5,0.66,0.85,0.22,0.58
g_0,1.19,1.5,1.7,1.38,1.33,1.43,0.61,,0.64,0.51,0.57,0.55,0.7,0.37,0.62,
