,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,0.43,1.7,2.01,1.72,2.09,1.94,0.42,0.64,0.44,0.34,0.9,0.44,0.24,0.38,0.38,0.32
e_1,1.08,0.43,2.33,2.3,2.21,1.77,0.61,0.74,0.4,0.45,0.52,0.43,0.34,1.17,0.46,0.32
c_1,2.41,1.66,0.42,2.56,1.84,1.78,0.55,0.67,0.24,0.75,0.38,0.44,0.3,0.39,0.37,0.36
d_1,2.27,2.53,2.15,0.41,2.29,2.08,0.56,0.36,1.18,0.37,0.36,0.32,0.28,0.39,0.34,0.19
b_1,2.36,2.64,1.19,2.28,0.39,2.87,0.73,0.71,0.52,0.79,0.48,1.38,0.34,0.46,0.55,0.32
a_1,3.0,2.49,4.03,3.8,1.33,0.32,0.82,0.84,0.52,0.64,0.62,0.92,0.55,0.64,1.43,0.47
h_1,3.14,3.41,2.81,3.08,2.93,3.41,0.34,1.1,0.77,0.77,0.81,0.76,0.82,0.66,0.65,0.57
g_1,3.93,4.3,3.91,3.74,4.5,3.25,0.77,0.3,0.74,0.78,0.88,0.66,0.37,0.62,0.71,0.85
d_0,3.78,2.07,3.77,6.04,4.93,3.56,1.14,1.11,0.43,0.74,0.74,0.74,0.52,0.72,0.81,0.69
c_0,3.9,3.89,9.53,1.84,4.62,4.98,1.16,1.14,0.98,0.39,0.8,0.76,0.57,0.66,0.9,0.54
f_0,8.41,3.41,4.01,3.65,4.32,3.03,1.18,0.67,0.76,0.8,0.36,0.83,0.58,0.61,1.03,0.35
b_0,4.55,3.82,5.56,3.57,8.34,3.4,1.32,1.14,0.81,0.39,0.75,0.35,0.6,0.67,0.83,0.58
h_0,4.65,4.69,4.32,3.96,4.68,4.55,2.01,1.47,0.84,0.8,0.85,0.7,0.96,0.79,0.75,0.53
e_0,6.85,8.07,4.37,4.51,4.5,4.29,1.17,1.34,1.07,0.85,0.48,1.03,0.66,0.33,1.02,0.52
a_0,4.61,4.66,5.3,5.25,5.64,9.34,1.64,1.16,0.85,0.87,1.18,0.46,0.6,0.84,0.33,0.71
g_0,5.78,4.97,4.88,3.85,5.22,6.38,1.15,2.39,1.16,0.91,1.14,1.11,0.54,0.89,0.93,1.15
