,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.0,1.34,0.78,0.93,0.88,0.64,0.43,0.44,0.45,0.53,0.46,0.36,0.31,0.28,0.25,0.31
e_1,0.75,1.0,0.95,1.07,0.92,0.89,0.51,0.45,0.63,0.53,0.45,0.47,0.36,0.36,0.37,0.32
d_1,1.26,1.05,1.0,0.89,0.91,0.71,0.54,0.59,0.42,0.36,0.47,0.44,0.4,0.38,0.39,0.29
c_1,1.08,0.93,1.11,1.0,1.37,0.72,0.49,0.41,0.32,0.43,0.37,0.44,0.36,0.32,0.34,0.27
b_1,1.13,1.09,1.11,0.73,1.0,1.3,0.56,0.52,0.49,0.54,0.49,0.38,0.33,0.44,0.34,0.42
a_1,1.57,1.13,1.39,1.42,0.77,1.0,0.75,0.58,0.61,0.62,0.56,0.49,0.42,0.46,0.49,0.42
h_1,2.35,1.94,1.82,1.96,1.84,1.32,1.0,0.88,0.94,0.94,0.87,0.74,0.69,0.74,0.62,0.73
c_0,2.19,2.26,1.7,2.29,1.86,1.69,1.15,1.0,1.08,1.07,1.35,0.87,0.92,0.76,0.71,0.7
d_0,2.21,1.57,2.44,3.08,2.13,1.67,1.06,0.89,1.0,1.04,0.93,0.93,0.76,0.75,0.74,0.76
g_1,2.0,1.88,2.78,2.29,1.94,1.56,1.06,0.91,0.97,1.0,0.92,1.12,0.81,0.69,0.73,0.76
b_0,2.26,2.26,2.09,2.75,1.99,1.67,1.12,0.79,1.13,1.1,1.0,1.01,1.16,0.78,0.73,0.74
f_0,2.89,2.09,2.29,2.33,2.54,1.95,1.35,1.1,1.07,0.85,0.92,1.0,0.97,0.87,1.25,0.66
a_0,3.24,2.89,2.69,2.74,2.86,2.56,1.46,1.1,1.43,1.18,0.88,1.06,1.0,1.1,0.98,0.95
h_0,3.52,2.74,2.79,3.06,2.27,2.25,1.25,1.25,1.37,1.41,1.32,1.07,0.92,1.0,0.94,1.06
e_0,4.08,2.77,2.46,2.96,2.72,2.21,1.62,1.37,1.38,1.37,1.47,0.78,1.11,1.07,1.0,0.95
g_0,3.32,2.97,3.63,3.67,2.33,2.32,1.39,1.36,1.36,1.27,1.29,1.42,1.06,0.9,1.04,1.0
