,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,5.98,3.02,3.65,2.52,2.82,2.53,9.51,21.17,10.93,12.22,13.88,14.41,18.81,15.76,11.06,18.11
f_1,4.47,6.23,2.8,2.64,2.37,2.52,9.78,14.0,10.03,13.38,13.61,10.37,18.53,15.0,9.29,18.94
c_1,2.47,2.9,6.58,2.59,5.07,2.81,9.76,12.37,9.36,7.77,8.81,12.73,19.43,12.2,14.68,19.72
d_1,2.92,3.04,2.22,6.74,2.55,2.84,10.95,9.63,12.54,24.24,17.83,14.79,20.78,17.64,15.53,21.06
b_1,2.34,2.96,2.82,2.69,7.72,6.12,11.31,11.41,9.59,13.08,9.14,12.89,21.52,10.36,14.61,20.84
a_1,2.71,3.36,3.15,2.79,2.69,10.85,11.66,11.86,9.13,12.03,15.0,13.12,22.14,10.6,16.53,19.15
h_1,2.54,3.89,3.31,3.22,3.09,2.63,19.69,11.49,13.68,11.22,13.55,13.2,19.43,15.46,16.98,26.62
d_0,2.88,2.9,5.14,1.9,3.66,3.04,12.32,19.62,10.07,9.25,12.0,13.62,21.32,13.57,16.8,21.55
g_1,2.78,2.58,2.85,4.78,3.01,2.39,12.03,10.69,23.67,16.12,14.72,22.3,18.26,16.89,17.88,19.53
c_0,3.44,3.19,2.81,3.35,2.24,2.79,11.93,14.16,11.95,21.34,23.95,14.91,21.96,20.87,16.37,22.28
b_0,2.9,3.06,3.62,3.46,2.45,2.11,10.94,13.88,11.8,14.73,22.19,15.44,22.07,28.45,19.15,24.32
f_0,2.68,2.88,3.42,3.39,3.22,2.98,13.5,14.04,13.6,15.29,15.75,24.99,24.0,17.02,30.87,22.54
h_0,2.86,3.94,2.94,3.73,2.43,2.51,9.53,11.55,13.85,14.58,14.91,16.4,18.34,14.96,16.88,28.94
a_0,3.21,3.01,3.14,3.58,3.31,1.89,10.87,14.81,12.07,15.05,14.17,14.82,20.83,28.23,16.54,21.51
e_0,2.45,3.52,3.52,2.99,3.19,3.09,13.87,11.91,13.14,13.64,14.55,15.92,26.49,15.92,30.45,24.47
g_0,2.61,3.26,3.02,4.35,2.92,2.97,10.6,11.08,10.13,15.18,14.59,20.46,26.74,14.4,20.33,20.11
