,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.81,0.95,1.01,0.85,0.67,0.5,0.42,0.44,0.55,0.39,0.43,0.34,0.34,0.33,0.35
f_1,1.23,1.0,0.89,0.94,0.77,0.73,0.41,0.38,0.42,0.42,0.38,0.36,0.31,0.31,0.25,0.31
d_1,1.05,1.13,1.0,0.81,0.82,0.76,0.51,0.58,0.37,0.45,0.42,0.39,0.36,0.37,0.37,0.29
c_1,1.0,1.08,1.22,1.0,1.18,0.86,0.53,0.45,0.52,0.35,0.43,0.42,0.39,0.33,0.36,0.34
b_1,1.18,1.28,1.24,0.86,1.0,1.26,0.58,0.54,0.5,0.46,0.46,0.45,0.43,0.36,0.39,0.4
a_1,1.44,1.38,1.3,1.15,0.79,1.0,0.74,0.61,0.62,0.55,0.71,0.58,0.52,0.6,0.48,0.45
h_1,1.98,2.39,2.04,1.84,1.71,1.3,1.0,0.84,1.0,0.87,0.81,0.81,0.76,0.72,0.68,0.77
c_0,2.33,2.58,1.82,2.21,1.88,1.62,1.2,1.0,1.01,1.11,1.24,0.88,0.87,0.89,0.77,0.76
g_1,2.3,2.36,2.71,1.91,2.01,1.63,1.0,0.99,1.0,0.88,0.91,0.99,0.72,0.84,0.76,0.7
d_0,1.96,2.34,2.22,2.87,2.29,1.71,1.16,0.9,1.13,1.0,1.0,0.89,0.83,0.81,0.81,0.79
b_0,2.63,2.51,2.29,2.38,2.15,1.42,1.25,0.83,1.04,0.96,1.0,0.93,0.82,1.26,0.82,0.75
f_0,2.26,2.7,2.48,2.43,2.22,1.77,1.22,1.08,0.98,1.13,1.03,1.0,0.95,0.97,1.16,0.72
h_0,2.94,3.11,2.62,2.52,2.39,1.97,1.3,1.13,1.41,1.18,1.24,1.07,1.0,0.94,0.87,1.0
a_0,2.89,3.22,2.7,3.0,2.79,1.72,1.43,1.16,1.25,1.21,0.85,1.06,1.05,1.0,0.89,0.88
e_0,3.02,4.11,2.64,2.79,2.53,2.07,1.45,1.32,1.32,1.22,1.27,0.89,1.13,1.08,1.0,0.95
g_0,2.87,3.13,3.37,2.92,2.59,2.24,1.29,1.31,1.47,1.19,1.37,1.47,1.01,1.09,1.03,1.0
