,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.26,0.42,0.19,0.23,0.21,0.17,0.4,0.36,0.36,0.38,0.43,0.09,0.6,0.32,0.28,0.44
e_1,0.25,2.29,0.17,0.23,0.2,0.14,0.47,0.52,0.35,0.93,0.53,0.45,0.68,0.35,0.09,0.48
d_1,0.22,0.2,2.37,0.16,0.2,0.18,0.46,0.99,0.35,0.17,0.52,0.62,0.57,0.39,0.44,0.53
c_1,0.26,0.2,0.26,2.41,0.38,0.11,0.32,0.09,0.32,0.43,0.41,0.55,0.52,0.36,0.31,0.53
b_1,0.23,0.21,0.2,0.22,2.46,0.34,0.42,0.41,0.39,0.39,0.13,0.46,0.61,0.25,0.42,0.57
a_1,0.2,0.18,0.25,0.25,0.16,3.04,0.57,0.64,0.43,0.5,0.46,0.35,0.73,0.13,0.31,0.47
h_1,0.53,0.36,0.43,0.33,0.4,0.29,2.79,0.65,0.64,0.71,0.67,0.64,0.32,0.55,0.47,1.14
c_0,0.5,0.43,0.52,0.18,0.29,0.28,0.78,2.3,0.47,0.82,1.6,0.8,0.82,0.78,0.83,0.76
g_1,0.35,0.34,0.73,0.35,0.28,0.25,0.65,0.83,3.21,0.65,0.57,1.18,0.96,0.77,0.58,0.45
d_0,0.53,0.4,0.09,0.78,0.34,0.33,0.55,0.74,0.53,2.21,0.72,0.56,0.9,0.73,0.48,0.88
b_0,0.53,0.5,0.44,0.41,0.15,0.2,0.42,0.81,0.73,0.84,2.39,0.75,1.09,1.67,0.8,1.08
f_0,0.15,0.38,0.44,0.48,0.49,0.32,0.67,0.75,0.62,0.87,0.77,2.53,0.9,0.71,1.38,0.83
h_0,0.64,0.32,0.41,0.35,0.35,0.3,0.27,0.82,0.83,0.99,0.89,0.62,0.44,0.71,0.61,1.25
a_0,0.48,0.43,0.39,0.49,0.36,,0.76,0.84,0.56,0.88,0.8,0.8,0.73,2.9,0.76,0.99
e_0,0.51,0.14,0.42,0.53,0.48,0.19,0.82,0.77,0.76,0.9,0.97,0.68,0.89,0.76,3.11,1.25
g_0,0.34,0.37,0.73,0.43,0.36,0.24,0.88,0.78,,0.76,0.49,1.27,0.7,0.67,0.61,0.43
