,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.94,0.82,0.74,0.96,0.69,0.65,0.99,0.86,0.84,1.58,0.94,0.96,1.03,0.95,0.65,1.03
f_1,1.26,2.05,0.68,0.75,0.66,0.7,0.81,0.81,0.72,0.92,0.92,0.55,0.95,0.89,0.62,0.82
d_1,0.74,0.78,2.2,0.54,0.71,0.77,1.02,1.7,0.99,0.66,1.08,1.03,1.03,1.06,1.2,1.04
c_1,0.75,0.69,0.75,2.46,1.35,0.71,0.87,0.54,0.97,0.87,0.84,0.98,0.88,0.76,0.87,0.94
b_1,0.65,0.8,0.77,0.79,2.71,1.43,0.94,0.78,0.89,0.84,0.56,0.9,0.97,0.69,0.95,0.93
a_1,0.75,0.77,0.81,0.79,0.68,3.3,1.02,0.96,1.12,0.77,1.02,1.18,1.13,0.74,1.22,1.02
h_1,0.7,1.15,0.91,0.75,0.77,0.68,2.08,1.04,1.33,0.98,1.11,1.13,0.74,1.1,1.21,1.38
c_0,0.81,0.9,0.93,0.63,0.68,0.76,1.25,1.77,1.21,1.15,2.04,1.26,1.18,1.46,1.24,1.24
g_1,0.7,0.77,1.28,0.66,0.88,0.79,0.94,1.11,2.48,0.88,1.1,1.49,0.89,1.19,1.15,0.71
d_0,0.78,0.84,0.59,1.51,0.84,0.68,0.96,0.81,1.03,1.53,1.06,1.03,1.14,1.1,1.02,1.15
b_0,0.84,0.97,0.97,0.86,0.63,0.49,1.07,1.06,1.0,0.98,1.82,1.15,1.01,2.34,1.21,1.12
f_0,0.58,0.64,0.96,0.95,0.89,0.83,1.16,1.16,1.18,1.14,1.19,2.01,1.12,1.38,2.33,1.1
h_0,0.85,1.09,0.91,0.84,0.82,0.68,0.69,0.93,1.33,1.04,1.19,0.9,0.8,1.07,1.11,1.3
a_0,0.81,0.91,0.97,1.02,0.75,0.38,1.15,1.14,1.13,1.12,0.97,1.17,1.24,2.38,1.12,1.07
e_0,0.58,1.08,0.77,0.85,0.76,0.91,1.15,1.23,1.16,1.12,1.25,1.22,1.29,1.24,2.51,1.27
g_0,0.69,0.73,1.31,0.96,0.76,0.71,1.0,1.09,0.86,0.98,1.23,1.63,1.02,1.15,1.17,0.86
