,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,5.65,2.33,1.07,1.26,1.16,1.12,4.49,4.18,5.41,6.44,6.43,2.65,5.97,9.21,4.43,7.74
e_1,1.53,6.0,1.22,1.49,1.11,1.14,4.59,5.43,6.34,11.45,6.77,6.27,7.15,9.38,2.83,8.11
d_1,1.4,1.2,6.15,1.33,1.1,1.36,4.52,4.65,10.66,2.54,6.9,6.27,6.44,9.09,6.84,10.22
c_1,1.32,1.03,1.11,6.82,2.72,1.15,4.75,4.25,2.1,4.99,5.08,6.06,6.45,9.1,6.3,10.24
b_1,1.27,1.18,1.45,1.17,7.54,2.47,5.23,4.57,6.11,5.26,3.03,7.63,5.24,8.69,7.4,8.09
a_1,1.18,1.12,1.63,1.52,1.36,11.28,4.97,4.07,5.61,5.61,4.78,5.67,2.83,8.71,6.96,12.78
h_1,2.02,1.54,1.63,1.61,1.41,1.48,15.24,6.82,6.1,6.77,7.89,7.85,8.17,7.97,7.41,14.74
g_1,1.18,1.41,2.36,1.6,1.31,1.68,5.5,19.49,8.45,7.35,7.49,11.63,8.13,11.98,10.05,5.49
c_0,2.01,1.57,1.69,0.76,1.33,1.62,5.63,5.56,16.09,8.29,14.72,7.98,9.91,11.82,8.73,12.12
d_0,1.65,1.46,0.91,2.99,1.37,1.59,5.76,6.18,5.19,16.16,7.31,8.58,7.87,10.96,8.36,9.78
b_0,1.71,1.5,1.8,1.83,0.86,0.96,7.12,6.31,7.49,9.28,18.44,8.42,15.59,14.14,9.21,13.37
f_0,1.16,1.37,2.04,1.64,1.58,1.64,6.34,5.78,7.06,6.84,8.82,19.03,8.09,13.41,15.9,12.27
a_0,1.64,1.66,1.87,1.94,1.38,0.47,6.63,6.85,8.27,7.49,6.5,8.09,22.27,14.71,9.19,12.39
h_0,2.14,1.42,1.93,1.75,1.53,1.42,2.75,7.7,7.54,7.68,5.99,8.09,7.0,5.85,7.9,13.83
e_0,2.08,0.74,1.86,1.7,1.75,1.1,7.11,5.22,7.91,6.98,7.46,8.14,7.58,14.67,26.23,12.17
g_0,1.42,1.35,2.54,1.54,1.82,1.58,5.48,2.91,7.54,6.83,7.27,12.69,9.16,10.77,8.11,5.87
