,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.34,1.05,0.86,0.81,0.66,0.45,0.45,0.38,0.43,0.4,,0.31,0.27,0.37,0.32
e_1,0.75,1.0,1.0,0.75,0.93,0.51,0.59,0.4,0.6,0.44,0.39,0.49,0.36,0.3,,0.31
d_1,0.95,1.0,1.0,1.15,1.09,0.88,0.47,0.34,,0.62,0.4,0.39,0.32,0.32,0.34,0.29
c_1,1.16,1.34,0.87,1.0,1.39,0.6,0.57,0.46,0.27,,0.41,0.4,0.35,0.39,0.35,0.31
b_1,1.23,1.08,0.92,0.72,1.0,,0.7,0.49,0.54,0.65,,0.43,0.41,0.39,0.41,0.33
a_1,1.51,1.97,1.14,1.67,,1.0,0.8,0.66,0.48,0.62,0.67,0.48,0.5,,,
h_1,2.22,1.7,2.11,1.75,1.43,1.25,1.0,1.22,0.96,0.88,0.77,0.74,,0.56,0.66,0.75
g_1,2.2,2.51,2.95,2.16,2.02,1.51,0.82,1.0,0.8,0.81,1.08,1.13,0.66,0.65,0.72,
d_0,2.64,1.67,,3.73,1.86,2.07,1.04,1.24,1.0,0.94,0.86,0.73,0.78,0.74,0.82,0.73
c_0,2.31,2.25,1.62,,1.54,1.6,1.13,1.24,1.06,1.0,1.45,0.98,0.93,0.82,0.54,0.83
b_0,2.51,2.59,2.49,2.43,,1.49,1.3,0.92,1.17,0.69,1.0,0.89,0.92,1.08,0.81,0.78
f_0,,2.02,2.53,2.51,2.33,2.07,1.35,0.89,1.38,1.02,1.13,1.0,0.89,1.05,1.18,0.65
h_0,3.27,2.79,3.16,2.84,2.41,2.01,,1.51,1.29,1.08,1.09,1.12,,1.04,0.74,1.01
a_0,3.71,3.32,3.08,2.56,2.57,,1.77,1.54,1.36,1.22,0.92,0.95,0.96,1.0,1.08,0.77
e_0,2.71,,2.98,2.9,2.43,,1.52,1.39,1.21,1.84,1.23,0.85,1.36,0.93,1.0,0.99
g_0,3.12,3.25,3.49,3.24,2.99,,1.33,,1.37,1.2,1.28,1.55,0.99,1.31,1.01,
