,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,2.42,0.37,0.25,0.26,0.29,0.3,0.62,0.61,0.78,0.56,,0.63,0.69,0.49,0.55,0.61
e_1,0.25,2.42,0.31,0.26,0.25,0.33,0.52,0.37,0.87,0.59,0.68,0.64,0.77,,0.54,0.73
c_1,0.29,0.26,2.48,0.23,0.44,0.23,0.57,0.64,0.49,,0.55,0.4,0.97,0.72,0.51,0.96
d_1,0.28,0.28,0.3,2.51,0.31,,0.57,0.46,,1.11,0.49,0.6,0.91,0.51,0.49,0.62
b_1,0.28,0.29,0.27,0.24,2.69,0.49,0.65,0.5,0.7,0.66,0.61,,0.67,0.55,0.58,0.56
a_1,0.29,0.27,0.3,,0.21,3.35,0.56,0.49,0.62,,0.72,0.68,0.7,,,
h_1,0.61,0.56,0.54,0.51,0.46,0.56,3.82,1.39,1.14,1.2,1.36,1.0,,1.29,0.99,1.68
g_1,0.5,0.57,0.42,0.72,0.55,0.53,0.94,4.21,1.31,1.0,2.18,1.44,0.87,1.04,0.97,
d_0,0.62,0.54,0.97,,0.59,0.62,1.48,0.98,3.35,1.36,1.27,1.42,1.83,1.05,2.01,1.63
c_0,0.81,0.64,,0.5,0.43,,1.08,1.3,1.36,3.59,1.47,2.45,1.85,1.26,1.13,1.84
f_0,,0.59,0.7,0.8,0.57,0.55,0.97,0.71,1.57,1.42,3.7,1.26,2.01,2.56,,1.67
b_0,0.56,0.6,0.73,0.63,,0.56,1.24,1.19,1.37,1.11,1.26,3.88,2.54,,2.43,1.4
h_0,0.83,0.68,0.65,0.77,0.82,0.7,,2.44,1.59,1.6,1.49,1.21,,2.07,2.13,2.71
e_0,0.67,,0.51,0.61,0.72,,1.17,1.28,1.68,1.79,1.02,,1.04,4.51,1.7,2.03
a_0,0.48,0.74,0.67,0.82,0.5,,1.2,1.15,1.13,1.22,,1.1,1.85,1.38,4.57,2.32
g_0,0.81,0.71,0.61,1.08,0.84,,1.35,,1.56,1.58,2.1,1.81,1.81,1.85,1.41,
