,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,2.5,0.7,0.58,0.78,0.62,0.68,0.95,0.84,1.57,0.69,1.01,0.9,0.9,1.05,0.68,0.95
f_1,1.13,2.56,0.55,0.65,0.5,0.57,0.84,0.74,0.91,0.88,0.44,0.98,0.91,0.75,0.71,0.94
d_1,0.57,0.72,2.79,0.53,0.54,0.55,0.98,0.98,0.37,1.88,0.91,1.36,1.08,1.14,1.0,1.08
c_1,0.6,0.66,0.55,2.84,1.31,0.53,0.86,0.88,0.82,0.37,0.94,0.6,0.91,0.95,1.0,0.8
b_1,0.57,0.63,0.66,0.6,3.28,1.34,0.8,1.0,0.95,0.76,1.01,0.36,0.97,0.75,0.88,0.81
a_1,0.62,0.57,0.78,0.84,0.64,4.46,0.96,0.8,1.04,1.0,1.01,0.87,0.97,0.41,0.89,1.02
h_1,0.7,1.09,0.85,0.77,0.65,0.62,2.84,1.68,1.1,1.02,1.23,1.11,0.75,1.16,1.25,1.49
g_1,0.71,0.68,1.35,0.68,0.72,0.64,1.09,3.15,0.94,1.15,1.73,0.96,1.01,1.13,1.39,1.0
d_0,0.83,0.88,0.42,1.58,0.87,0.65,1.05,0.77,1.93,0.74,1.0,1.09,1.29,1.18,1.13,1.07
c_0,0.89,0.88,1.05,0.53,0.41,0.84,1.17,1.01,1.18,2.33,1.38,2.38,1.29,1.13,1.19,1.33
f_0,0.62,0.53,1.04,0.84,0.83,0.81,1.15,1.26,1.24,1.06,2.69,1.43,1.25,1.15,2.84,1.34
b_0,0.86,0.97,0.85,0.84,0.43,0.62,1.04,1.22,1.22,1.16,1.26,2.57,1.36,2.47,1.02,1.27
h_0,0.75,1.19,1.04,0.75,0.77,0.62,0.55,1.46,0.8,1.18,1.0,1.03,0.85,1.04,1.05,1.53
a_0,0.81,0.82,0.91,0.86,0.85,0.53,1.35,1.01,1.06,1.21,1.23,1.26,1.41,2.93,1.12,1.01
e_0,0.48,0.96,0.98,0.84,0.81,0.58,1.39,1.2,1.23,1.45,1.18,1.54,1.35,1.05,3.27,1.28
g_0,0.69,0.67,1.55,0.73,0.63,0.65,1.12,0.81,0.91,1.06,1.91,1.23,1.32,1.38,1.49,0.76
