,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.74,1.16,0.58,0.5,0.55,0.49,0.81,0.76,0.76,0.84,0.84,0.41,1.0,0.98,0.8,0.54
e_1,0.67,2.85,0.56,0.77,0.61,0.64,0.85,0.76,0.93,1.77,0.83,0.97,1.02,0.97,1.0,0.44
d_1,0.77,0.54,2.91,0.51,0.55,0.58,0.94,1.12,1.75,0.44,1.12,0.89,0.99,0.97,1.01,1.01
c_1,0.61,0.53,0.66,3.27,1.08,0.45,0.75,0.68,0.26,0.83,0.69,0.98,0.63,0.72,0.94,0.92
b_1,0.53,0.61,0.62,0.64,3.45,1.07,1.0,0.78,0.93,0.8,0.46,0.85,1.08,0.63,0.86,0.89
a_1,0.75,0.55,0.65,0.61,0.55,4.83,0.91,0.85,0.79,0.94,1.23,1.16,1.17,0.5,0.95,1.25
h_1,1.03,0.58,0.9,0.74,0.63,0.62,3.06,1.41,1.2,1.07,1.19,1.02,0.71,1.1,1.77,1.32
g_1,0.53,0.67,1.26,0.78,0.69,0.62,1.04,3.65,1.12,0.85,1.24,1.72,1.1,1.12,0.77,1.25
c_0,0.78,0.71,0.84,0.39,0.6,0.94,1.21,1.26,2.3,1.17,2.36,1.59,1.25,1.42,1.34,1.41
d_0,0.67,0.74,0.37,1.64,0.78,0.65,1.02,1.21,0.79,2.18,1.13,1.21,1.02,1.05,1.05,1.34
b_0,0.8,0.64,0.74,0.84,0.41,0.73,1.15,1.42,1.2,1.13,2.77,1.35,1.25,2.76,1.34,1.64
f_0,0.37,0.55,0.79,0.84,0.75,0.99,1.36,1.15,1.15,1.2,1.37,2.79,1.28,1.41,1.27,3.11
h_0,1.04,0.67,0.82,0.75,0.71,0.75,0.72,1.46,1.16,1.09,1.17,1.3,0.64,1.55,1.64,0.91
a_0,0.68,0.71,0.97,0.76,0.74,0.38,1.38,1.37,1.08,1.0,1.34,1.31,1.47,3.74,1.37,1.15
g_0,0.63,0.66,1.17,0.75,0.65,0.8,1.27,0.85,1.14,1.06,1.13,1.75,1.15,1.28,0.72,1.67
e_0,0.78,0.33,0.85,0.96,0.75,0.78,1.29,1.31,1.11,1.12,1.17,1.37,1.48,1.33,1.07,3.92
