,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,2.53,0.77,0.77,0.61,0.54,0.7,0.77,0.74,1.56,0.92,0.9,0.83,0.91,0.89,0.51,1.03
f_1,1.19,2.69,0.7,0.59,0.56,0.5,0.67,0.82,0.9,0.95,0.88,0.36,0.82,0.99,0.77,0.81
c_1,0.54,0.61,2.82,0.6,1.19,0.56,0.9,0.88,0.9,0.71,0.32,1.15,0.99,0.92,0.9,1.01
d_1,0.53,0.65,0.57,2.93,0.64,0.64,1.09,1.1,0.56,1.23,1.73,1.1,0.93,0.82,1.11,0.85
b_1,0.62,0.66,0.6,0.62,3.13,1.27,0.94,0.75,0.78,0.37,0.89,0.85,0.68,1.07,0.84,1.0
a_1,0.63,0.68,0.65,0.76,0.6,3.99,1.23,0.99,0.86,0.91,0.86,0.86,0.56,1.05,0.9,0.91
h_1,0.72,1.2,0.66,0.83,0.85,0.6,2.76,1.53,1.05,1.11,1.13,1.01,1.14,0.81,1.36,1.5
g_1,0.69,0.71,0.78,1.32,0.69,0.54,1.09,3.26,0.87,1.13,1.02,1.84,0.93,1.08,1.48,0.76
d_0,0.73,0.84,1.53,0.45,0.86,0.69,1.04,0.96,2.06,1.22,0.78,1.08,1.15,1.26,1.2,1.06
b_0,0.8,0.78,0.84,0.99,0.37,0.63,1.14,1.15,1.0,2.39,1.43,1.39,2.73,1.36,1.34,1.2
c_0,0.87,0.88,0.52,0.92,0.57,0.8,1.11,1.08,1.21,2.33,2.23,1.35,1.4,1.26,1.34,1.18
f_0,0.67,0.51,0.92,0.88,0.99,0.66,1.13,1.21,1.1,1.31,1.1,2.83,1.49,1.33,2.79,1.15
a_0,0.75,0.86,0.78,0.98,0.86,0.44,1.02,1.11,1.18,1.29,1.2,1.12,2.96,1.59,1.34,1.6
h_0,0.81,1.2,0.83,0.92,0.68,0.66,0.72,1.5,0.93,1.06,1.02,1.17,1.29,0.76,1.02,1.36
e_0,0.58,0.95,0.93,0.83,0.69,0.56,1.09,1.08,1.08,1.31,1.21,1.45,1.58,1.38,3.18,1.48
g_0,0.84,0.63,0.76,1.41,0.69,0.65,0.96,0.64,0.99,1.42,1.1,1.96,1.32,1.1,1.24,0.95
