,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,0.95,0.51,0.62,0.45,0.56,0.34,0.39,0.33,0.56,0.28,0.31,0.27,0.23,0.3,0.21,0.27
f_1,0.84,0.95,0.54,0.48,0.48,0.28,0.34,0.34,0.36,0.26,0.24,0.26,0.24,0.27,0.16,0.24
c_1,0.58,0.59,0.95,0.53,0.76,0.33,0.39,0.33,0.3,0.23,0.3,0.25,0.24,0.31,0.24,0.24
d_1,0.63,0.65,0.47,0.96,0.47,0.36,0.39,0.33,0.28,0.49,0.32,0.34,0.31,0.33,0.26,0.24
b_1,0.55,0.58,0.53,0.58,0.95,0.63,0.39,0.31,0.4,0.33,0.3,0.27,0.22,0.32,0.24,0.28
a_1,0.66,0.78,0.73,0.62,0.52,0.94,0.53,0.38,0.42,0.37,0.36,0.39,0.25,0.35,0.3,0.31
h_1,0.86,1.11,0.77,0.79,0.69,0.47,0.79,0.59,0.51,0.4,0.4,0.42,0.33,0.37,0.31,0.43
g_1,0.86,0.84,0.84,1.17,0.74,0.53,0.54,0.78,0.46,0.47,0.61,0.48,0.4,0.44,0.35,0.35
d_0,0.75,0.95,1.42,0.67,0.79,0.49,0.62,0.53,0.71,0.36,0.46,0.43,0.41,0.42,0.36,0.41
c_0,1.02,1.09,0.83,0.86,0.72,0.53,0.7,0.61,0.61,0.7,0.51,0.81,0.52,0.52,0.36,0.48
f_0,0.93,0.95,1.01,0.93,0.84,0.59,0.69,0.53,0.67,0.49,0.7,0.57,0.48,0.53,0.7,0.37
b_0,1.05,1.1,1.0,0.98,0.64,0.43,0.7,0.64,0.53,0.5,0.49,0.72,0.77,0.48,0.33,0.44
a_0,1.08,1.13,1.03,0.93,0.9,0.55,0.75,0.66,0.61,0.57,0.6,0.47,0.68,0.57,0.52,0.44
h_0,1.0,1.32,1.07,0.97,0.85,0.51,0.62,0.72,0.7,0.55,0.45,0.53,0.48,0.48,0.4,0.54
e_0,0.76,1.33,1.05,1.03,0.99,0.64,0.85,0.64,0.64,0.64,0.46,0.6,0.42,0.58,0.66,0.46
g_0,0.99,1.12,1.13,1.42,0.94,0.59,0.67,0.56,0.62,0.55,0.77,0.56,0.47,0.52,0.49,0.42
