,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,11200.15,6425.89,11111.05,7352.13,14019.07,50425.86,5616389.42,24040934.58,17726799.67,25063424.06,48455771.75,52868220.87,214268431.5,247360957.58,439631898.8,365373712.78
f_1,8320.18,14305.56,8501.67,7947.01,12354.16,45366.0,5730514.52,15000199.48,15101832.73,24428405.94,34059035.04,54252584.98,184023543.12,219089070.87,411204035.89,329261486.96
c_1,4542.05,6139.72,20804.61,8406.76,24809.12,51527.49,5557841.74,13499303.72,15300134.3,14588562.79,44746807.7,38377620.98,203602565.66,226809637.9,447264291.56,378847913.29
d_1,4805.67,7385.07,6819.26,22463.89,12896.39,47094.65,6229771.31,10479740.25,17732365.38,43409362.15,47223824.27,66292905.52,223101815.94,243511024.75,547623460.9,432606575.25
b_1,4618.42,6192.19,8353.03,8864.46,37311.84,101059.85,6080137.91,13362394.05,17731613.74,22968390.65,46417042.53,43124740.32,199555944.78,219750774.94,363731062.05,411129425.0
a_1,5197.82,5691.41,8909.4,10875.04,14742.66,178240.26,6119816.9,14001091.68,19479321.63,24949294.15,51078535.69,53973546.15,214427889.72,154547786.91,418140716.89,484081812.51
h_1,5212.27,8511.38,8774.22,11421.24,14914.25,46937.58,10668830.74,13624721.59,24243605.91,26133963.96,48485494.29,51760187.04,180704400.87,243572204.58,549732422.61,429769945.25
d_0,5108.39,6388.15,16396.09,7291.68,16517.9,46742.35,6364126.77,21304946.96,17201471.59,17366335.6,46309336.33,48943531.35,219124366.7,268859850.93,454696398.84,470640411.73
g_1,4794.18,6273.54,9601.47,13846.45,15004.16,45946.08,6442582.12,14391305.27,36488248.86,28578359.51,70168701.75,57279074.8,203542911.57,228620785.78,420352037.99,470325879.81
c_0,5917.45,7814.66,7655.69,11029.2,11603.94,46925.07,7078158.05,17787746.62,18854505.59,41783942.49,55171646.93,105523354.37,225782544.95,338854155.13,512962098.71,480180984.5
f_0,4910.52,6200.46,10631.83,10850.42,16249.77,41824.59,6879216.79,15266337.76,20057428.73,28149339.26,76321211.94,65497987.75,257520660.7,288451033.38,547837215.19,852763077.31
b_0,5507.36,8099.92,9992.93,9452.96,11651.2,41187.66,6906788.37,18390691.15,18894887.66,30151638.83,46719807.76,106421418.48,222968168.69,515828241.16,466355477.41,500904342.58
h_0,5764.74,8837.27,8586.28,11405.9,15229.34,48630.62,5287732.29,14133402.23,22368872.4,27463354.71,45342341.13,61406802.46,175862217.56,263641182.0,571871734.53,475218342.7
a_0,5528.99,7819.63,10271.87,9110.46,14067.38,45561.36,7562965.21,17413967.87,19780258.73,27201510.2,54393784.69,65597023.48,220380530.37,498772390.74,461095379.74,571376287.86
g_0,5056.89,6559.44,7896.62,13635.41,15422.52,50509.02,7327886.01,14151521.97,16057371.72,32493062.26,73239621.15,64413411.47,195652979.93,253564910.41,421549622.15,570875410.11
e_0,4582.09,7281.77,11048.74,12553.42,14444.19,41777.19,6943846.07,15784089.1,20486696.54,26390776.6,45328153.91,55090140.93,236337633.35,293064003.6,567851452.88,910434744.39
