,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,2.42,1.17,0.89,1.29,0.99,0.74,2.12,1.77,1.99,3.65,1.96,1.82,2.09,2.64,1.46,2.19
f_1,1.68,2.42,0.91,1.09,0.85,0.82,1.83,1.75,1.9,2.33,1.98,1.39,1.97,2.55,1.39,2.02
d_1,1.0,1.17,2.47,0.82,1.04,0.85,2.07,1.84,3.64,1.56,2.44,2.16,1.99,2.59,1.81,2.83
c_1,0.93,0.9,1.04,2.47,1.85,0.91,2.03,1.58,1.36,1.9,1.31,2.12,1.27,2.69,1.91,2.48
b_1,1.04,1.22,0.96,0.99,2.53,1.54,1.92,1.67,2.04,1.92,1.88,2.02,1.54,2.5,1.88,2.29
a_1,1.05,1.13,1.22,1.19,0.91,3.09,1.94,1.71,1.81,2.04,2.05,1.97,1.32,2.86,1.66,2.66
h_1,1.03,1.44,1.21,1.19,0.99,0.82,3.44,2.17,2.17,2.01,2.21,2.09,1.91,2.17,1.63,3.3
g_1,0.92,1.05,1.6,1.18,1.09,0.82,2.24,3.8,2.36,1.89,2.24,3.23,1.91,2.66,2.33,2.43
c_0,1.2,1.27,1.28,0.96,0.93,0.75,2.15,2.09,3.53,2.05,3.98,2.58,2.89,3.14,2.15,2.93
d_0,1.08,1.12,0.73,1.93,1.29,0.87,1.95,1.77,1.43,3.31,1.85,2.31,1.7,2.48,1.8,2.54
b_0,1.16,1.24,1.25,1.23,0.84,0.73,2.02,1.8,2.79,2.25,3.75,2.42,4.15,3.44,2.3,2.7
f_0,0.99,1.1,1.39,1.11,1.15,0.94,2.18,2.02,2.53,2.26,2.22,3.59,1.74,3.1,4.07,2.78
a_0,1.06,1.17,1.16,1.43,1.08,0.58,2.05,1.98,2.23,2.62,2.33,2.37,3.78,3.18,2.0,2.91
h_0,1.13,1.43,1.24,1.12,1.1,0.73,1.64,2.29,2.18,2.26,2.08,1.89,1.86,2.22,1.94,3.26
e_0,0.89,1.25,1.35,1.15,1.17,1.0,2.31,1.92,2.51,2.14,2.5,2.47,2.07,3.28,3.83,2.77
g_0,0.95,1.05,1.69,1.05,1.14,0.8,1.93,1.5,2.48,1.85,2.1,3.27,1.66,2.92,2.5,2.31
