,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.17,14.8,11.42,10.1,13.56,15.1,2.47,2.37,2.25,3.64,2.0,,1.47,2.48,2.71,2.87
e_1,6.85,0.17,15.8,13.06,18.39,15.05,3.48,2.8,2.59,4.59,1.86,2.77,1.26,3.99,,1.94
d_1,9.82,15.3,0.16,16.05,10.85,15.75,3.21,,2.45,2.11,2.62,2.48,1.54,3.88,2.3,1.06
c_1,11.54,12.08,12.38,0.15,15.65,18.65,4.55,1.28,,3.22,2.33,2.36,1.61,2.87,2.39,1.95
b_1,11.82,15.32,11.78,7.14,0.15,9.18,2.84,2.65,3.87,4.32,,2.33,1.73,3.12,2.54,1.86
a_1,15.1,12.16,10.13,15.55,4.93,0.1,6.22,3.76,2.25,3.88,2.63,3.47,2.1,,,2.34
h_1,4.94,2.96,4.42,2.99,3.21,2.63,0.07,0.5,0.59,0.99,0.84,0.74,,0.49,0.56,0.4
d_0,2.37,1.28,,2.36,2.03,3.53,0.72,0.09,0.49,0.69,0.52,0.72,0.39,0.58,0.49,0.38
c_0,2.53,2.73,1.35,,2.5,2.66,0.71,0.77,0.08,0.95,0.47,0.58,0.3,0.44,0.4,0.28
g_1,4.6,4.15,2.7,3.09,3.06,2.66,0.63,0.53,0.9,0.05,0.69,1.04,0.47,0.52,,
b_0,2.93,3.55,2.93,3.62,,2.96,0.66,0.47,0.23,0.87,0.07,0.36,0.34,0.55,0.64,0.36
f_0,,2.88,2.3,2.27,5.05,2.78,1.04,0.55,0.63,0.4,0.47,0.06,0.3,0.28,,0.18
h_0,1.55,1.67,1.63,1.82,1.44,1.49,,0.29,0.36,0.39,0.62,0.27,,0.27,0.25,0.27
a_0,2.48,2.16,3.58,2.55,2.73,,0.75,0.76,0.53,0.59,0.29,0.53,0.49,0.04,,0.27
e_0,3.43,,2.3,2.27,3.32,,0.69,0.54,0.45,,0.59,,0.41,,0.04,
g_0,2.32,1.87,1.89,1.79,1.95,1.12,0.24,0.37,0.37,,0.56,0.28,0.17,0.38,,
