,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,2.85,0.48,0.7,0.77,0.6,0.43,0.84,1.84,0.89,0.93,0.86,1.04,1.02,1.25,0.46,1.01
d_1,0.49,3.06,0.59,0.47,0.58,0.57,0.87,0.36,1.85,0.94,1.21,1.09,1.05,0.92,1.44,1.08
f_1,1.06,0.56,2.95,0.67,0.43,0.72,0.77,0.76,0.79,0.74,0.82,0.24,1.07,0.79,0.77,0.89
c_1,0.56,0.52,0.61,3.0,1.23,0.46,1.03,0.79,0.32,0.84,0.7,0.96,0.85,0.84,0.96,0.81
b_1,0.61,0.67,0.69,0.49,3.46,1.16,0.77,0.81,0.75,0.88,0.37,0.84,0.91,0.85,0.67,0.65
a_1,0.69,0.66,0.67,0.63,0.38,4.98,1.02,0.97,0.97,0.93,1.06,1.07,0.85,0.94,0.85,0.42
h_1,0.75,0.77,0.92,0.77,0.68,0.64,3.0,1.06,0.96,1.31,1.14,1.1,0.68,1.39,1.21,1.3
d_0,0.68,0.31,0.88,1.5,0.73,0.69,1.13,2.32,0.74,1.0,1.21,0.95,1.18,1.0,0.97,1.39
c_0,0.79,0.97,0.78,0.51,0.67,0.76,1.01,1.14,2.32,0.94,2.42,1.37,1.16,1.19,1.41,1.37
g_1,0.51,1.32,0.6,0.81,0.67,0.51,1.1,1.01,1.08,3.77,1.2,1.84,0.86,0.8,1.3,1.07
b_0,0.69,0.89,0.83,0.8,0.41,0.5,1.44,1.04,1.13,1.05,2.87,1.34,1.33,1.3,1.1,2.62
f_0,0.73,0.99,0.33,0.75,0.84,0.68,1.28,1.21,1.23,1.02,1.38,2.68,1.27,1.6,2.26,1.21
h_0,0.84,0.87,1.07,0.76,0.63,0.65,0.63,1.15,1.12,1.49,1.16,1.14,0.67,1.58,1.02,1.01
g_0,0.58,1.35,0.57,0.86,0.67,0.75,1.27,1.0,1.1,0.81,1.01,1.83,1.15,0.6,1.06,1.1
e_0,0.35,0.88,0.76,0.89,0.73,0.88,1.29,1.0,1.33,1.14,1.54,1.46,1.73,1.57,3.97,1.22
a_0,0.65,0.86,0.66,0.9,0.84,0.48,1.22,1.26,1.18,1.22,1.33,1.27,1.42,1.23,1.25,3.47
