,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.31,1.11,1.24,1.7,3.25,13.06,30.23,27.34,26.89,41.73,48.22,63.73,84.9,102.6,90.28
e_1,0.76,1.0,1.01,1.56,1.72,3.51,16.68,38.19,32.27,29.29,42.92,57.22,72.21,79.89,105.02,106.1
d_1,0.9,0.95,1.0,0.95,1.45,3.39,13.15,25.64,21.1,33.14,38.02,45.67,66.95,68.62,73.47,87.31
c_1,0.81,0.65,1.06,1.0,1.68,2.98,11.12,15.48,25.11,19.94,27.9,39.32,63.86,64.23,72.76,78.15
b_1,0.58,0.57,0.69,0.61,1.0,3.18,9.01,16.69,18.57,21.48,30.13,27.27,40.69,43.14,61.56,60.24
a_1,0.31,0.28,0.29,0.33,0.32,1.0,4.53,8.89,8.7,8.91,15.51,14.08,23.28,25.45,25.71,28.21
h_1,0.08,0.06,0.08,0.09,0.11,0.21,1.0,1.78,2.34,1.82,2.57,3.02,4.95,4.91,7.67,6.0
d_0,0.03,0.03,0.04,0.06,0.06,0.11,0.56,1.0,1.16,0.86,1.35,1.83,2.68,2.72,3.87,4.06
g_1,0.04,0.03,0.05,0.04,0.05,0.12,0.43,0.87,1.0,1.02,1.42,1.98,2.05,2.59,3.06,3.28
c_0,0.04,0.03,0.03,0.05,0.05,0.1,0.54,1.19,0.97,1.0,1.91,1.64,2.75,3.26,3.53,3.77
b_0,0.02,0.02,0.03,0.04,0.04,0.06,0.39,0.77,0.69,0.54,1.0,1.24,1.79,2.66,2.45,2.33
f_0,0.02,0.02,0.02,0.03,0.04,0.07,0.33,0.58,0.51,0.58,0.81,1.0,1.52,1.6,1.56,3.02
h_0,0.02,0.01,0.02,0.02,0.02,0.04,0.2,0.36,0.49,0.37,0.56,0.67,1.0,1.07,1.43,1.26
a_0,0.01,0.01,0.01,0.02,0.02,0.04,0.21,0.36,0.36,0.31,0.38,0.59,0.95,1.0,1.22,1.29
g_0,0.01,0.01,0.01,0.01,0.02,0.04,0.13,0.27,0.32,0.28,0.4,0.63,0.69,0.79,1.0,1.14
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.17,0.26,0.32,0.26,0.39,0.35,0.79,0.82,0.89,1.0
