,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,2.27,0.68,0.54,0.42,0.43,0.45,1.13,0.84,2.09,0.58,1.46,1.27,1.16,1.64,0.9,1.67
f_1,0.58,2.3,0.96,0.47,0.51,0.31,1.0,0.83,1.1,1.26,1.13,0.53,1.16,1.35,0.59,1.19
e_1,0.54,0.6,2.41,0.73,0.49,0.38,0.98,0.87,1.22,2.36,1.31,1.07,1.03,1.39,0.53,1.23
c_1,0.57,0.58,0.48,2.46,0.91,0.52,1.02,1.01,0.43,1.11,0.69,1.1,0.85,1.36,0.94,1.13
b_1,0.61,0.59,0.5,0.57,2.64,0.9,0.95,0.93,1.07,1.22,0.41,0.92,0.75,1.19,0.87,1.12
a_1,0.55,0.55,0.48,0.68,0.63,3.08,1.26,0.92,0.99,1.21,1.09,1.22,0.29,1.46,1.34,1.49
h_1,0.85,1.02,0.62,0.61,0.49,0.41,3.03,1.55,1.4,1.31,1.62,1.29,1.09,1.24,1.33,2.1
g_1,1.1,0.61,0.57,0.62,0.48,0.49,1.29,3.36,1.18,1.2,1.65,2.15,1.33,2.0,1.65,1.09
c_0,0.87,0.73,0.84,0.48,0.45,0.43,1.29,1.22,2.74,1.36,2.83,1.4,1.49,1.59,1.31,1.73
d_0,0.5,0.71,0.71,1.38,0.63,0.49,1.15,1.14,0.83,2.54,1.21,1.14,1.17,1.7,0.96,1.25
b_0,0.83,0.85,0.64,0.91,0.35,0.33,1.35,1.17,1.49,1.46,2.89,1.33,2.42,1.8,1.14,1.66
f_0,0.92,0.4,0.58,0.72,0.66,0.54,1.46,1.38,1.77,1.36,1.57,3.01,1.31,1.74,2.99,1.98
a_0,0.78,0.77,0.71,0.87,0.57,0.29,1.26,1.28,1.41,1.32,1.62,1.34,3.08,2.16,1.12,1.57
h_0,0.83,1.05,0.69,0.73,0.53,0.46,0.8,1.65,1.32,1.32,1.33,1.26,1.42,1.12,0.91,1.77
e_0,0.81,0.63,0.46,0.8,0.8,0.56,1.32,1.2,1.48,1.38,1.46,1.41,1.17,2.02,3.34,1.48
g_0,1.25,0.67,0.6,0.64,0.54,0.4,1.3,0.82,1.57,1.19,1.44,1.92,1.15,1.85,1.5,1.11
