,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.41,0.53,0.88,0.94,0.94,0.78,0.43,0.55,0.35,0.42,0.4,0.45,0.31,0.38,0.52,0.35
f_1,0.9,0.41,0.75,0.83,0.79,0.66,0.35,0.46,0.34,0.37,0.35,0.4,0.24,0.35,0.33,0.35
d_1,0.9,0.88,0.4,0.76,0.77,0.8,0.45,0.31,0.39,0.6,0.36,0.32,0.28,0.35,0.38,0.22
c_1,0.64,0.78,1.03,0.38,1.0,0.82,0.44,0.39,0.47,0.23,0.33,0.34,0.31,0.4,0.31,0.28
b_1,0.77,0.96,0.76,0.48,0.36,1.09,0.53,0.47,0.48,0.4,0.57,0.37,0.4,0.3,0.36,0.32
a_1,0.9,1.14,0.74,0.94,0.44,0.31,0.46,0.44,0.36,0.48,0.42,0.3,0.35,0.74,0.38,0.35
h_1,0.73,0.75,0.73,0.79,0.66,0.62,0.25,0.44,0.31,0.32,0.32,0.33,0.32,0.32,0.27,0.33
g_1,0.65,0.74,0.78,0.82,0.81,0.7,0.29,0.23,0.37,0.32,0.28,0.34,0.24,0.29,0.32,0.3
c_0,0.8,0.82,0.47,1.36,0.66,0.69,0.4,0.38,0.24,0.44,0.38,0.34,0.27,0.33,0.33,0.28
d_0,0.49,0.73,0.95,0.86,0.81,0.6,0.42,0.45,0.32,0.25,0.36,0.37,0.31,0.29,0.29,0.32
b_0,0.67,0.77,0.69,1.01,0.93,0.66,0.4,0.42,0.2,0.3,0.24,0.29,0.27,0.35,0.33,0.24
f_0,0.62,1.29,0.75,0.71,0.7,0.73,0.39,0.29,0.32,0.32,0.33,0.23,0.32,0.28,0.4,0.18
h_0,0.76,0.83,0.69,0.74,0.57,0.65,0.53,0.39,0.32,0.33,0.33,0.27,0.33,0.27,0.33,0.33
a_0,0.69,0.72,0.69,0.71,0.98,0.75,0.38,0.41,0.29,0.38,0.2,0.35,0.36,0.21,0.33,0.24
e_0,0.84,0.84,0.67,0.64,0.67,0.75,0.44,0.35,0.33,0.34,0.33,0.2,0.26,0.33,0.2,0.32
g_0,0.63,0.76,0.8,0.75,0.76,0.56,0.33,0.47,0.32,0.29,0.37,0.4,0.21,0.32,0.3,0.34
