,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,0.18,0.47,0.82,0.97,0.78,0.93,0.25,0.17,0.24,0.16,0.13,0.15,0.11,0.41,0.17,0.15
f_1,0.75,0.17,0.74,0.74,0.85,0.6,0.16,0.17,0.27,0.14,0.14,0.27,0.08,0.12,0.13,0.13
d_1,0.93,0.86,0.15,0.8,0.81,0.7,0.21,0.47,0.13,0.13,0.13,0.15,0.1,0.16,0.13,0.07
c_1,0.58,0.8,0.93,0.15,0.87,0.78,0.21,0.08,0.25,0.36,0.19,0.18,0.11,0.14,0.14,0.08
b_1,0.81,0.8,0.85,0.43,0.14,0.94,0.22,0.17,0.25,0.21,0.67,0.18,0.16,0.17,0.26,0.11
a_1,0.84,0.88,0.92,0.78,0.38,0.09,0.26,0.2,0.22,0.21,0.23,0.16,0.13,0.2,0.55,0.17
h_1,0.58,0.71,0.61,0.61,0.59,0.5,0.06,0.15,0.2,0.12,0.13,0.1,0.17,0.11,0.13,0.09
d_0,0.32,0.7,1.12,0.8,0.64,0.59,0.2,0.07,0.21,0.17,0.13,0.12,0.09,0.1,0.13,0.11
g_1,0.63,0.77,0.57,0.63,0.64,0.64,0.13,0.14,0.05,0.13,0.14,0.11,0.07,0.14,0.11,0.13
c_0,0.79,0.65,0.3,1.77,0.74,0.47,0.2,0.17,0.16,0.06,0.13,0.13,0.08,0.12,0.12,0.09
b_0,0.56,0.54,0.47,0.76,1.51,0.63,0.19,0.15,0.19,0.07,0.05,0.12,0.09,0.13,0.11,0.11
f_0,0.63,1.35,0.51,0.7,0.6,0.58,0.2,0.11,0.1,0.13,0.13,0.05,0.09,0.1,0.14,0.06
h_0,0.55,0.64,0.55,0.65,0.5,0.62,0.27,0.13,0.16,0.13,0.12,0.12,0.16,0.13,0.1,0.1
e_0,0.77,0.89,0.5,0.77,0.7,0.54,0.16,0.12,0.15,0.12,0.11,0.06,0.09,0.04,0.11,0.08
a_0,0.57,0.61,0.53,0.78,0.8,1.37,0.19,0.13,0.13,0.11,0.05,0.17,0.09,0.13,0.04,0.09
g_0,0.61,0.73,0.58,0.56,0.59,0.52,0.15,0.12,0.32,0.13,0.16,0.12,0.06,0.11,0.13,0.13
