,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,1.51,0.98,0.9,1.22,0.94,0.83,1.21,1.76,1.1,1.05,1.09,1.17,1.27,0.92,0.94,1.19
f_1,1.45,1.53,0.89,1.0,0.97,0.74,0.97,1.21,1.01,1.06,1.15,0.81,1.12,0.72,0.99,1.05
d_1,1.09,1.13,1.58,0.87,0.87,0.72,1.23,1.05,1.02,1.74,1.33,1.18,1.35,1.16,1.11,1.05
c_1,0.92,1.05,1.07,1.58,1.5,0.87,1.18,0.92,1.08,0.91,0.89,1.1,1.24,0.89,0.87,1.1
b_1,1.08,1.04,1.03,0.89,1.62,1.45,1.17,1.21,1.13,1.17,1.09,1.24,1.43,0.95,0.85,1.12
a_1,1.11,1.27,1.19,1.09,0.85,1.79,1.34,1.23,1.18,1.4,1.33,1.26,1.39,1.14,0.98,1.41
h_1,1.31,1.55,1.27,1.23,1.18,0.88,1.87,1.49,1.65,1.4,1.35,1.21,1.39,1.17,1.08,1.58
d_0,1.1,1.33,1.11,1.98,1.33,1.04,1.46,1.81,1.27,1.13,1.29,1.51,1.55,1.27,1.16,1.55
g_1,1.26,1.32,1.69,1.16,1.14,0.99,1.24,1.41,1.95,1.57,1.45,1.88,1.57,1.37,1.28,1.44
c_0,1.47,1.5,1.26,1.18,1.06,0.92,1.66,1.64,1.39,1.85,2.2,1.46,1.64,1.42,1.66,1.35
b_0,1.57,1.45,1.37,1.47,0.94,0.84,1.63,1.74,1.47,1.42,1.9,1.49,1.76,1.43,2.32,1.45
f_0,1.25,1.47,1.43,1.31,1.28,1.11,1.78,1.6,1.41,1.61,1.57,1.88,1.74,2.16,1.12,1.51
h_0,1.41,1.76,1.45,1.32,1.21,0.99,1.38,1.57,1.66,1.53,1.51,1.57,1.49,1.37,1.41,1.95
e_0,1.39,1.85,1.34,1.48,1.33,1.0,1.8,1.63,1.44,1.63,1.53,1.46,1.81,2.03,1.38,1.59
a_0,1.51,1.61,1.46,1.41,1.29,0.71,1.81,1.78,1.68,1.61,1.36,1.76,1.78,1.57,1.99,1.59
g_0,1.44,1.37,1.86,1.44,1.45,1.04,1.6,1.35,1.31,1.75,1.54,2.08,1.54,1.44,1.29,1.43
