,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,1.0,0.82,0.95,1.13,0.97,0.84,0.74,0.68,0.86,0.6,0.62,0.68,0.61,0.6,0.56,0.58
f_1,1.21,1.0,0.92,1.0,0.88,0.73,0.64,0.67,0.65,0.6,0.61,0.59,0.47,0.55,0.54,0.46
d_1,1.05,1.11,1.0,0.88,0.95,0.83,0.73,0.6,0.67,0.83,0.69,0.66,0.62,0.47,0.61,0.55
c_1,0.89,0.99,1.13,1.0,1.22,0.89,0.69,0.72,0.53,0.6,0.52,0.59,0.65,0.56,0.52,0.52
b_1,1.01,1.13,1.05,0.83,1.0,1.18,0.78,0.7,0.67,0.76,0.63,0.63,0.67,0.62,0.51,0.63
a_1,1.19,1.37,1.15,1.1,0.87,1.0,0.91,0.84,0.82,0.7,0.74,0.66,0.75,0.75,0.67,0.65
h_1,1.37,1.55,1.37,1.43,1.3,1.08,1.0,1.05,0.87,0.83,0.85,0.91,0.8,0.92,0.82,0.78
g_1,1.49,1.49,1.67,1.42,1.42,1.26,0.95,1.0,0.86,0.97,0.96,1.09,0.82,0.86,0.93,0.93
d_0,1.19,1.47,1.57,1.87,1.48,1.25,1.13,1.11,1.0,0.84,1.0,0.94,0.96,0.92,0.83,0.94
c_0,1.62,1.68,1.25,1.65,1.27,1.34,1.22,1.02,1.18,1.0,1.42,0.94,0.97,0.93,0.98,0.9
b_0,1.69,1.64,1.43,1.9,1.66,1.27,1.18,1.08,1.03,0.76,1.0,0.96,1.0,0.94,1.2,0.91
f_0,1.44,1.66,1.54,1.71,1.57,1.53,1.07,0.91,1.1,1.04,1.07,1.0,1.0,0.87,1.0,1.21
h_0,1.75,2.06,1.63,1.56,1.46,1.31,1.23,1.25,1.04,1.04,0.96,0.99,1.0,1.03,0.86,0.9
g_0,1.75,1.83,2.07,1.73,1.59,1.34,1.1,1.14,1.09,1.06,1.01,1.2,1.0,1.0,1.02,0.93
a_0,1.89,1.84,1.62,1.85,1.88,1.58,1.24,1.07,1.2,1.06,0.84,0.98,1.15,0.99,1.0,0.95
e_0,1.69,1.96,1.75,1.98,1.65,1.44,1.28,1.07,1.12,1.11,1.13,0.88,1.1,0.98,1.07,1.0
