,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.39,2.05,1.34,1.57,1.55,1.34,2.48,3.13,2.8,2.78,3.24,2.33,3.26,2.68,2.52,3.86
e_1,1.47,2.42,1.32,1.73,1.37,1.47,3.08,5.05,2.82,3.0,3.14,3.71,4.17,3.54,3.19,4.28
d_1,1.71,1.48,2.54,1.12,1.34,1.54,2.79,2.56,2.63,5.11,3.77,3.4,4.58,4.02,3.63,3.58
c_1,1.45,1.33,1.55,2.61,2.31,1.36,2.94,2.83,2.76,2.15,2.8,3.21,4.04,3.07,3.31,3.63
b_1,1.31,1.52,1.64,1.36,2.8,2.71,3.02,2.88,2.82,2.91,2.47,3.16,3.66,2.75,2.75,4.03
a_1,1.57,1.47,1.61,1.65,1.2,3.3,2.9,3.19,3.19,3.2,3.79,4.06,4.51,3.43,4.15,4.73
h_1,1.98,1.38,1.71,1.51,1.49,1.36,4.12,3.18,4.04,3.23,3.4,3.2,3.68,3.32,3.61,4.99
d_0,1.62,1.25,1.17,2.48,1.86,1.4,3.05,4.22,2.94,2.68,3.03,3.78,4.19,3.24,3.97,4.48
g_1,1.43,1.44,2.18,1.52,1.57,1.39,2.44,3.08,4.6,3.06,3.72,4.82,4.01,3.64,3.65,3.48
c_0,1.74,1.45,1.53,1.49,1.49,1.56,3.27,3.35,3.75,4.38,5.66,3.85,4.31,4.54,3.57,4.49
b_0,1.69,1.66,1.64,1.71,1.23,1.03,3.21,3.51,3.27,2.9,4.73,3.77,4.22,6.13,3.83,4.1
f_0,1.54,1.23,1.85,1.6,1.81,1.48,3.0,2.97,3.07,3.51,3.78,4.85,4.98,3.68,6.05,4.39
h_0,1.96,1.38,1.55,1.52,1.52,1.63,2.66,3.14,3.48,3.32,3.82,3.46,3.81,3.48,3.88,4.77
a_0,1.75,1.43,1.69,1.73,1.68,1.01,3.27,3.29,2.97,3.34,3.34,3.94,4.25,5.23,3.59,3.89
e_0,1.78,1.18,1.72,1.47,1.92,1.45,3.3,3.2,3.42,3.31,4.0,3.34,4.08,3.48,5.36,5.31
g_0,1.34,1.27,2.26,1.49,1.7,1.58,2.78,2.77,3.12,3.27,3.65,4.92,4.08,4.11,3.46,3.94
