,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,15.59,0.71,0.37,0.76,0.57,0.51,1.06,0.9,2.19,0.85,0.91,1.0,1.01,0.95,0.42,0.84
f_1,1.39,16.26,0.53,0.56,0.36,0.47,0.74,0.7,0.73,0.92,0.32,0.92,0.9,0.86,0.71,0.71
d_1,0.51,0.62,18.99,0.48,0.57,0.58,0.85,0.93,0.31,2.12,0.89,1.14,1.08,1.05,0.95,0.89
c_1,0.43,0.5,0.61,18.97,1.25,0.48,0.91,0.67,0.93,0.29,0.92,0.71,0.91,0.91,0.89,1.07
b_1,0.48,0.47,0.66,0.45,18.12,1.29,0.74,0.92,0.83,0.84,1.28,0.41,0.96,0.74,1.04,1.02
a_1,0.49,0.59,0.69,0.53,0.51,27.74,1.0,0.96,0.84,0.97,0.98,0.99,1.04,0.32,1.37,0.94
h_1,0.59,1.18,0.82,0.75,0.63,0.67,4.77,1.55,1.14,1.01,1.0,1.25,0.63,1.09,1.3,1.92
g_1,0.58,0.56,1.3,0.82,0.8,0.6,1.17,5.92,0.86,1.12,2.18,0.98,0.96,1.16,1.17,0.71
d_0,0.74,0.83,0.43,2.07,0.59,0.74,1.05,1.14,3.0,0.81,1.21,1.18,1.16,1.18,1.14,1.16
c_0,0.88,0.81,0.88,0.41,0.55,0.75,1.34,1.02,1.05,2.72,1.11,3.55,1.13,1.72,1.01,1.23
f_0,0.44,0.45,0.82,0.89,0.97,0.89,1.39,1.34,1.19,0.79,4.03,1.08,1.46,1.31,3.47,1.8
b_0,0.66,0.81,0.74,0.95,0.5,0.45,0.95,1.27,1.36,1.34,1.33,4.06,1.41,3.63,1.3,1.27
h_0,0.64,1.08,0.88,0.75,0.68,0.69,0.64,1.87,1.3,1.07,1.29,1.3,0.66,1.43,1.16,1.79
a_0,0.82,0.72,0.74,0.88,0.89,0.21,1.42,1.56,1.08,1.12,1.66,1.17,1.17,5.0,1.35,1.75
e_0,0.36,0.91,1.12,0.68,0.69,0.79,1.5,1.24,1.06,1.43,1.08,1.33,1.56,1.24,4.6,1.43
g_0,0.44,0.65,1.77,0.72,0.65,0.79,1.0,0.81,0.81,1.1,2.53,1.28,1.16,0.98,1.85,0.89
