,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.66,0.68,0.95,1.01,0.98,0.79,0.45,0.37,0.44,0.42,0.34,0.42,0.27,0.33,0.38,0.3
f_1,1.02,0.65,0.9,0.98,0.84,0.84,0.34,0.33,0.42,0.35,0.33,0.38,0.23,0.3,0.26,0.28
d_1,0.99,1.11,0.64,0.9,0.88,0.86,0.42,0.41,0.31,0.42,0.33,0.34,0.27,0.34,0.36,0.22
c_1,0.87,1.03,1.23,0.62,1.06,0.95,0.47,0.43,0.5,0.26,0.38,0.35,0.31,0.32,0.36,0.28
b_1,1.11,1.19,1.17,0.72,0.6,1.19,0.49,0.46,0.44,0.37,0.44,0.38,0.32,0.36,0.38,0.33
a_1,1.29,1.23,1.18,1.09,0.68,0.57,0.6,0.49,0.52,0.45,0.63,0.46,0.39,0.66,0.42,0.36
h_1,1.53,1.73,1.56,1.59,1.48,1.18,0.53,0.55,0.74,0.6,0.55,0.56,0.56,0.54,0.51,0.5
c_0,1.76,1.96,1.21,2.03,1.67,1.47,0.81,0.54,0.7,0.75,0.72,0.58,0.53,0.61,0.57,0.48
g_1,1.78,1.85,1.85,1.6,1.64,1.37,0.66,0.6,0.51,0.58,0.6,0.63,0.43,0.62,0.56,0.52
d_0,1.32,1.72,1.91,2.06,1.89,1.57,0.82,0.63,0.85,0.56,0.67,0.59,0.51,0.61,0.65,0.52
b_0,1.88,1.8,1.61,1.92,1.99,1.41,0.85,0.46,0.75,0.61,0.54,0.61,0.49,0.8,0.6,0.46
f_0,1.69,2.24,1.79,1.85,1.75,1.43,0.77,0.66,0.64,0.68,0.65,0.53,0.59,0.68,0.72,0.42
h_0,2.0,2.07,1.82,1.94,1.87,1.66,0.97,0.69,0.96,0.72,0.79,0.72,0.65,0.65,0.61,0.6
a_0,2.02,2.27,1.79,2.31,2.29,1.79,0.89,0.65,0.84,0.73,0.47,0.66,0.59,0.51,0.62,0.54
e_0,2.22,2.93,1.86,2.12,1.97,1.6,0.87,0.76,0.9,0.72,0.76,0.47,0.64,0.72,0.51,0.54
g_0,2.0,2.25,2.13,2.16,2.01,1.92,0.76,0.75,1.13,0.71,0.83,0.84,0.56,0.75,0.7,0.69
