,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.74,1.22,1.35,1.45,2.97,20.88,41.49,34.27,36.87,42.97,47.13,82.18,97.1,,94.4
f_1,1.35,1.0,1.01,1.24,1.72,3.71,16.07,24.32,33.32,36.47,36.51,,56.0,69.34,102.99,107.07
d_1,0.82,0.99,1.0,1.12,1.03,2.47,20.76,,19.49,30.79,30.15,41.97,58.94,49.64,97.93,61.99
c_1,0.74,0.81,0.89,1.0,1.39,1.99,16.8,12.85,24.49,,34.84,32.28,49.42,71.8,76.65,75.68
b_1,0.69,0.58,0.98,0.72,1.0,3.11,9.3,12.74,22.2,28.56,,29.89,47.86,54.75,,63.23
a_1,0.34,0.27,0.4,0.5,0.32,1.0,7.41,6.88,11.79,8.9,16.69,13.69,32.6,,,37.23
h_1,0.05,0.06,0.05,0.06,0.11,0.14,1.0,1.24,1.38,1.36,2.14,1.95,,3.16,5.35,6.73
d_0,0.02,0.04,,0.08,0.08,0.15,0.81,1.0,1.25,1.2,1.86,1.91,3.17,3.37,4.24,4.87
g_1,0.03,0.03,0.05,0.04,0.05,0.08,0.72,0.8,1.0,1.25,0.98,1.77,2.14,3.31,3.02,
c_0,0.03,0.03,0.03,,0.04,0.11,0.74,0.83,0.8,1.0,1.7,1.29,1.84,2.41,2.13,2.72
b_0,0.02,0.03,0.03,0.03,,0.06,0.47,0.54,1.02,0.59,1.0,1.31,1.83,2.27,2.62,2.74
f_0,0.02,,0.02,0.03,0.03,0.07,0.51,0.52,0.56,0.78,0.76,1.0,1.8,1.57,2.95,1.89
h_0,0.01,0.02,0.02,0.02,0.02,0.03,,0.32,0.47,0.54,0.55,0.55,,0.9,1.1,2.12
a_0,0.01,0.01,0.02,0.01,0.02,,0.32,0.3,0.3,0.41,0.44,0.64,1.11,1.0,,1.16
e_0,,0.01,0.01,0.01,,,0.19,0.24,0.33,0.47,0.38,0.34,0.91,,1.0,1.11
g_0,0.01,0.01,0.02,0.01,0.02,0.03,0.15,0.21,,0.37,0.37,0.53,0.47,0.86,0.9,
