,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,2.39,0.27,0.27,0.24,0.21,0.24,0.57,0.45,1.03,0.71,0.76,0.54,0.51,0.75,0.61,
f_1,0.38,2.41,0.33,0.26,0.23,0.3,0.55,0.58,0.55,0.6,0.73,,0.6,0.6,0.86,0.45
d_1,0.27,0.25,2.49,0.27,0.28,0.34,0.66,0.5,,1.02,0.61,0.46,0.55,0.82,0.65,
c_1,0.31,0.3,0.21,2.53,0.44,0.22,0.55,0.56,0.52,,0.49,0.53,0.61,0.93,0.75,0.79
b_1,0.36,0.35,0.3,0.24,2.78,0.36,0.45,0.44,0.62,0.45,,0.82,0.55,0.8,0.56,0.61
a_1,0.25,0.23,0.26,0.29,0.28,3.39,,0.51,0.7,0.73,0.52,0.45,,0.91,0.6,
h_1,0.54,0.64,0.42,0.58,0.61,,3.72,1.22,1.12,1.13,1.17,1.04,0.98,,2.25,1.48
g_1,0.62,0.33,0.67,0.56,0.62,0.63,1.05,4.02,0.98,1.08,0.87,1.91,1.14,0.87,,1.56
d_0,0.44,0.6,,1.02,0.62,0.5,1.39,1.28,3.48,0.98,1.43,1.69,1.2,1.8,1.85,1.19
c_0,0.61,0.6,0.59,,0.58,0.57,1.1,1.4,1.4,3.55,2.0,1.78,1.3,1.7,1.63,1.04
b_0,0.46,0.67,0.59,0.67,,0.7,1.21,1.44,1.34,1.16,3.66,1.34,1.79,2.02,1.97,1.08
f_0,0.58,,0.83,0.76,0.45,0.77,1.26,1.06,1.24,0.89,1.54,3.8,1.12,2.49,1.33,2.35
a_0,0.48,0.72,0.69,0.51,0.55,,1.54,1.07,1.71,1.42,1.15,1.36,4.42,1.01,1.37,
h_0,0.66,1.08,0.78,0.67,0.78,0.67,,1.91,1.61,1.79,1.27,0.83,2.64,,2.87,1.44
g_0,0.88,0.45,0.85,0.62,0.77,0.87,0.95,,1.61,1.99,1.56,2.79,2.05,2.13,,1.51
e_0,,0.64,,0.59,0.73,,1.16,1.01,1.58,1.56,1.7,1.18,,2.43,1.65,4.69
