,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.35,1.08,0.87,1.3,0.98,0.77,1.84,1.96,1.82,3.36,2.22,2.33,2.68,2.03,1.59,2.54
f_1,1.67,2.36,0.98,1.09,0.91,0.64,1.93,1.59,1.75,2.28,2.08,1.28,2.51,1.87,1.42,2.23
d_1,1.05,1.19,2.46,0.76,1.0,0.92,2.01,1.76,3.8,1.58,2.65,2.04,2.91,2.0,2.02,2.57
c_1,0.97,1.1,1.01,2.56,1.78,0.8,1.65,1.59,1.33,1.96,1.31,2.17,2.36,1.59,1.95,2.51
b_1,1.03,1.06,1.08,0.99,2.64,1.66,1.84,1.63,2.08,1.98,1.47,2.1,2.72,1.33,1.8,2.49
a_1,1.05,1.23,1.21,0.97,0.85,3.08,2.16,1.73,2.43,2.31,2.2,2.26,2.78,1.66,1.84,2.82
h_1,1.17,1.45,1.14,1.13,0.97,0.87,3.52,2.51,2.05,2.19,2.28,2.22,2.23,2.04,1.53,3.12
g_1,0.95,1.04,1.66,1.07,1.09,0.87,2.05,3.8,2.5,2.02,2.26,3.29,3.05,1.95,2.24,2.47
c_0,1.21,1.35,1.21,0.96,0.75,0.91,2.3,1.76,3.46,2.31,4.23,2.22,2.9,2.81,1.96,2.77
d_0,1.26,1.15,0.82,1.84,1.12,0.7,2.05,1.87,1.48,3.25,2.21,2.28,2.76,1.98,1.94,2.66
b_0,1.15,1.18,1.34,0.96,0.85,0.82,2.28,2.39,2.61,2.29,3.56,2.49,2.97,4.09,1.93,2.53
f_0,1.0,1.03,1.29,1.18,1.08,1.08,2.07,2.26,2.43,2.33,2.56,3.42,3.19,2.14,3.42,2.46
h_0,1.16,1.49,1.29,1.14,0.85,0.83,1.63,2.2,2.3,2.15,2.47,2.15,2.28,1.85,1.95,3.55
a_0,1.26,1.19,1.25,1.04,1.23,0.65,2.11,2.34,2.32,2.2,2.39,2.22,3.07,3.7,1.95,2.79
e_0,0.92,1.2,1.15,1.27,1.12,0.88,2.32,2.16,2.39,2.68,2.48,2.55,2.99,1.7,3.68,2.77
g_0,1.05,1.08,1.59,1.22,1.12,0.9,1.82,1.67,2.28,2.06,2.43,3.19,2.47,2.14,2.03,1.93
