,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,0.41,0.74,1.0,0.86,0.8,0.82,0.39,0.51,0.43,0.39,0.57,0.37,0.25,0.4,0.41,0.39
d_1,1.02,0.4,1.03,0.84,0.88,0.72,0.49,0.37,0.54,0.45,0.38,0.36,0.32,0.24,0.36,0.33
e_1,0.54,0.86,0.4,0.99,0.98,1.04,0.54,0.5,0.51,0.42,0.47,0.48,0.38,0.36,0.42,0.75
c_1,0.88,1.04,0.8,0.39,0.99,0.73,0.38,0.41,0.26,0.48,0.38,0.31,0.38,0.33,0.36,0.4
b_1,1.07,0.9,0.82,0.53,0.37,1.2,0.55,0.58,0.41,0.46,0.39,0.68,0.33,0.39,0.41,0.42
a_1,0.97,1.16,0.75,1.22,0.52,0.3,0.56,0.45,0.43,0.35,0.39,0.43,0.36,0.35,0.59,0.38
h_1,0.87,0.83,0.74,0.85,0.69,0.8,0.25,0.54,0.32,0.34,0.34,0.34,0.4,0.31,0.29,0.3
g_1,0.91,0.78,0.73,0.88,0.75,0.71,0.34,0.23,0.32,0.33,0.33,0.4,0.24,0.35,0.34,0.32
d_0,0.77,1.18,0.49,0.98,0.82,0.77,0.45,0.53,0.26,0.33,0.36,0.34,0.33,0.3,0.37,0.36
c_0,0.93,0.49,0.74,1.38,0.76,0.79,0.45,0.41,0.46,0.25,0.35,0.43,0.33,0.31,0.39,0.4
f_0,1.17,0.73,0.7,0.91,0.77,0.67,0.44,0.34,0.44,0.3,0.23,0.36,0.27,0.2,0.34,0.4
b_0,0.86,0.69,0.68,1.0,1.12,0.7,0.41,0.38,0.37,0.22,0.33,0.24,0.31,0.28,0.42,0.31
h_0,0.9,0.71,0.69,0.72,0.82,0.68,0.63,0.45,0.36,0.3,0.34,0.32,0.39,0.34,0.33,0.3
g_0,0.77,0.82,0.79,0.78,0.73,0.76,0.31,0.6,0.35,0.35,0.38,0.35,0.24,0.41,0.31,0.29
a_0,0.72,0.78,0.74,0.84,0.91,1.45,0.45,0.48,0.3,0.28,0.35,0.21,0.31,0.28,0.2,0.28
e_0,1.14,0.74,0.96,0.75,0.72,0.75,0.38,0.38,0.36,0.29,0.21,0.34,0.34,0.29,0.53,0.2
