,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,2.46,0.83,0.69,0.63,0.84,0.75,1.35,1.34,2.83,1.83,0.9,1.89,1.99,1.4,1.79,2.09
f_1,0.71,2.47,1.23,0.71,0.7,0.85,1.4,1.32,1.55,1.75,1.62,0.54,1.64,1.66,1.5,2.03
e_1,0.71,0.67,2.48,0.9,0.85,0.73,1.61,1.51,1.55,1.53,2.97,1.73,2.14,1.59,0.83,1.75
c_1,0.86,0.71,0.77,2.6,1.19,0.59,1.44,1.58,0.71,1.37,1.64,1.94,1.92,1.79,1.54,2.27
b_1,0.69,0.92,0.71,0.59,2.75,1.54,1.5,1.26,1.73,0.58,1.37,1.44,1.99,1.88,1.52,2.03
a_1,0.79,0.8,0.86,0.81,0.43,3.13,1.75,1.42,1.68,2.26,1.97,1.55,2.89,0.86,2.01,1.98
h_1,1.19,1.27,0.79,1.12,1.0,0.78,3.9,2.4,2.07,2.21,1.63,2.14,1.42,2.08,2.31,3.39
g_1,1.54,0.89,0.84,1.04,0.97,0.87,1.69,4.18,1.77,2.07,1.61,2.99,2.81,2.06,1.97,1.83
c_0,0.93,1.16,1.05,0.7,0.94,1.1,2.06,2.27,3.71,4.05,2.33,3.16,3.23,2.61,2.61,3.12
b_0,1.05,1.16,1.04,1.24,0.66,0.78,2.03,2.02,1.88,3.77,2.51,2.57,2.81,3.77,2.31,2.62
d_0,0.54,1.02,0.86,1.87,0.96,0.79,2.11,2.3,1.98,2.11,3.67,2.36,2.92,2.41,2.43,2.13
f_0,1.1,0.96,0.9,1.11,1.3,0.94,1.82,1.88,1.81,2.26,2.12,4.06,2.96,1.95,4.37,2.51
h_0,1.23,1.2,0.91,1.05,1.02,0.73,1.48,2.29,2.01,2.5,2.21,2.53,1.84,2.05,2.64,3.2
a_0,1.18,1.11,0.88,1.1,0.94,0.48,2.36,2.1,2.25,2.0,2.56,2.98,3.44,4.57,2.06,3.89
e_0,1.13,1.11,0.39,1.28,1.01,0.91,1.92,2.51,2.01,2.51,1.9,1.86,2.91,3.05,4.69,3.0
g_0,1.33,0.88,0.88,0.96,1.12,0.96,1.9,1.32,2.07,2.33,2.51,3.24,2.45,1.7,2.31,1.98
