,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,5.62,1.11,0.57,0.62,0.48,0.56,2.3,1.36,2.69,3.14,3.24,0.51,3.83,2.42,2.96,4.22
e_1,0.6,5.78,0.56,0.7,0.63,0.51,2.07,1.99,2.43,5.76,2.79,3.01,4.09,2.78,0.93,3.42
d_1,0.57,0.51,6.28,0.42,0.66,0.44,2.2,3.1,5.38,0.53,2.68,3.64,4.68,3.62,3.38,5.04
c_1,0.6,0.51,0.58,6.71,1.14,0.47,2.56,1.97,0.55,2.94,2.65,2.75,4.39,3.01,3.33,4.11
b_1,0.63,0.61,0.54,0.64,7.4,1.24,1.89,2.49,2.35,2.53,0.71,2.89,2.93,2.58,2.74,4.01
a_1,0.69,0.5,0.58,0.76,0.41,10.86,2.13,2.1,3.25,3.59,3.22,2.93,5.46,0.89,2.63,3.07
h_1,1.49,1.0,1.12,0.82,0.88,1.22,15.17,4.27,4.32,4.75,4.58,4.71,3.28,4.77,4.59,10.03
g_1,0.91,0.76,1.64,0.91,1.02,1.15,3.88,19.17,4.1,3.93,5.2,7.45,9.2,5.17,4.14,2.42
c_0,1.4,1.09,1.3,0.39,0.74,0.92,3.49,3.32,14.49,4.59,10.63,5.82,7.06,6.48,5.43,9.9
d_0,1.17,1.0,0.39,2.07,0.92,1.17,3.01,3.54,3.86,12.87,5.38,5.54,10.01,5.49,5.65,8.23
b_0,1.21,0.86,1.24,1.18,0.35,1.07,4.39,4.15,6.44,4.56,15.8,5.0,8.19,12.78,6.83,8.05
f_0,0.48,1.03,1.18,1.05,1.2,1.33,4.49,3.86,5.89,5.04,5.79,18.03,10.32,4.34,10.05,9.79
h_0,1.56,0.93,1.09,1.23,0.91,0.7,1.32,5.04,4.47,4.65,5.39,4.2,3.57,5.75,8.31,10.89
a_0,0.94,1.1,1.21,1.45,1.1,,4.91,3.21,4.77,4.41,5.23,5.83,8.34,20.57,6.73,7.66
e_0,1.44,0.37,1.1,1.13,0.89,1.16,4.59,5.26,6.11,5.99,5.81,6.46,9.76,5.46,25.83,7.54
g_0,0.58,0.97,2.02,0.97,1.16,1.1,3.11,,4.89,3.86,5.03,7.51,5.55,3.93,5.46,3.25
