,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.41,0.43,0.59,0.66,0.62,0.66,0.34,0.31,0.36,0.27,0.26,0.37,0.23,0.28,0.27,0.33
f_1,0.65,0.39,0.54,0.63,0.59,0.53,0.25,0.28,0.35,0.25,0.26,0.29,0.18,0.23,0.24,0.21
d_1,0.66,0.64,0.39,0.56,0.56,0.53,0.3,0.34,0.25,0.31,0.31,0.24,0.22,0.25,0.15,0.25
c_1,0.51,0.6,0.69,0.39,0.67,0.55,0.32,0.19,0.28,0.26,0.24,0.25,0.22,0.27,0.24,0.25
b_1,0.58,0.65,0.64,0.42,0.37,0.59,0.37,0.27,0.33,0.3,0.31,0.28,0.22,0.29,0.22,0.27
a_1,0.56,0.69,0.63,0.58,0.41,0.31,0.38,0.29,0.35,0.28,0.38,0.28,0.26,0.42,0.25,0.29
h_1,0.54,0.63,0.56,0.56,0.53,0.51,0.23,0.29,0.32,0.26,0.24,0.24,0.26,0.24,0.26,0.25
d_0,0.42,0.53,0.62,0.69,0.59,0.57,0.29,0.23,0.33,0.23,0.27,0.27,0.26,0.26,0.28,0.28
g_1,0.55,0.57,0.6,0.61,0.59,0.5,0.24,0.27,0.2,0.24,0.24,0.27,0.18,0.23,0.26,0.24
c_0,0.59,0.61,0.4,0.77,0.58,0.53,0.31,0.35,0.31,0.22,0.32,0.27,0.24,0.27,0.22,0.27
b_0,0.56,0.58,0.5,0.71,0.62,0.5,0.31,0.28,0.3,0.17,0.21,0.25,0.23,0.26,0.23,0.25
f_0,0.54,0.71,0.59,0.6,0.55,0.52,0.31,0.27,0.22,0.23,0.24,0.2,0.21,0.23,0.17,0.28
h_0,0.59,0.61,0.54,0.57,0.57,0.51,0.33,0.24,0.31,0.22,0.22,0.24,0.23,0.24,0.23,0.25
a_0,0.59,0.58,0.57,0.65,0.68,0.53,0.29,0.28,0.28,0.22,0.17,0.23,0.22,0.18,0.25,0.25
g_0,0.54,0.61,0.61,0.53,0.57,0.53,0.22,0.27,0.31,0.26,0.25,0.25,0.19,0.21,0.22,0.23
e_0,0.61,0.88,0.51,0.56,0.49,0.49,0.3,0.27,0.29,0.25,0.27,0.15,0.22,0.25,0.2,0.18
