,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,5.68,0.07,0.15,0.08,0.08,0.05,0.38,0.31,0.34,0.41,0.48,,0.41,0.29,0.24,0.58
d_1,0.09,6.06,0.05,0.07,0.08,0.07,0.35,,0.32,0.6,0.35,0.3,0.74,0.48,0.44,0.6
e_1,0.08,0.08,6.07,0.06,0.08,0.1,0.24,0.7,0.23,0.45,0.34,0.34,0.65,0.35,,0.43
c_1,0.08,0.08,0.08,6.57,0.13,0.09,0.24,0.35,0.37,,0.32,0.42,0.59,0.36,0.3,0.67
b_1,0.08,0.1,0.07,0.06,7.34,0.14,0.39,0.37,0.21,0.32,,0.4,0.72,0.27,,0.65
a_1,0.09,0.09,0.08,0.06,0.09,10.08,0.29,0.46,0.31,0.31,0.28,0.39,0.56,,,0.45
h_1,0.35,0.19,0.34,0.34,0.22,0.24,14.39,1.18,1.41,1.94,1.39,1.52,,1.44,1.81,2.88
d_0,0.33,,0.33,0.9,0.4,0.39,1.31,11.71,1.15,1.82,2.25,1.51,2.76,2.13,1.81,3.42
g_1,0.27,0.42,0.22,0.21,0.34,0.28,1.2,1.78,17.8,1.12,1.36,2.09,1.89,1.22,1.63,
c_0,0.41,0.26,0.48,,0.32,0.29,1.54,2.21,1.23,12.78,3.39,2.21,3.21,1.69,1.84,2.66
b_0,0.35,0.45,0.35,0.42,,0.26,1.59,2.31,1.23,1.37,13.65,1.87,3.44,3.5,2.86,2.44
f_0,,0.4,0.4,0.34,0.5,0.48,1.46,2.13,1.67,1.91,2.03,16.02,2.27,1.85,2.28,2.76
h_0,0.98,0.63,0.52,0.51,0.55,0.51,,2.84,3.04,2.43,3.06,2.48,,2.04,3.64,4.88
a_0,0.31,0.46,0.46,0.36,0.29,,1.51,1.76,1.03,2.18,1.64,1.36,4.66,20.94,,3.34
e_0,0.38,0.48,,0.43,,,1.65,2.02,1.22,2.81,1.43,2.01,4.12,,22.86,2.43
g_0,0.48,0.8,0.29,0.67,0.62,0.69,1.95,2.28,,2.77,3.42,5.38,3.25,3.34,2.43,
