,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.26,0.27,0.16,0.25,0.18,0.17,0.46,0.91,0.3,0.41,0.48,0.42,0.52,0.39,0.15,0.64
f_1,0.39,2.27,0.22,0.24,0.18,0.18,0.32,0.5,0.35,0.42,0.44,0.07,0.54,0.29,0.33,0.39
d_1,0.2,0.25,2.38,0.17,0.24,0.15,0.41,0.14,0.41,0.95,0.5,0.43,0.64,0.31,0.46,0.51
c_1,0.21,0.19,0.26,2.38,0.31,0.15,0.43,0.48,0.41,0.12,0.37,0.56,0.69,0.36,0.35,0.42
b_1,0.23,0.2,0.26,0.2,2.55,0.33,0.36,0.45,0.33,0.39,0.09,0.43,0.52,0.31,0.35,0.55
a_1,0.21,0.22,0.26,0.22,0.23,3.05,0.38,0.56,0.39,0.39,0.5,0.4,0.62,0.15,0.33,0.48
h_1,0.46,0.6,0.35,0.32,0.27,0.2,2.84,0.67,0.68,0.75,0.87,0.95,0.46,0.82,0.6,1.14
d_0,0.47,0.46,0.09,0.78,0.28,0.26,0.77,2.12,0.59,0.72,0.83,0.74,0.94,0.52,0.63,1.04
g_1,0.36,0.28,0.52,0.36,0.46,0.29,0.69,0.91,3.09,0.65,0.75,1.27,1.09,0.76,0.53,0.24
c_0,0.49,0.5,0.42,0.15,0.34,0.22,0.8,0.81,0.65,2.39,1.49,0.97,1.06,0.77,0.73,0.96
b_0,0.46,0.55,0.39,0.42,0.12,0.26,0.69,0.82,0.68,0.93,2.35,0.86,1.27,1.34,0.69,1.23
f_0,0.36,0.18,0.53,0.43,0.4,0.26,0.93,0.75,0.76,0.82,1.06,2.42,0.86,0.89,1.51,1.01
h_0,0.26,0.57,0.37,0.42,0.43,0.21,0.34,0.89,0.8,0.95,0.92,0.95,0.43,0.7,0.74,1.2
a_0,0.37,0.51,0.47,0.38,0.27,0.12,0.86,0.94,0.71,1.01,0.82,0.86,1.28,2.88,0.79,0.99
e_0,0.13,0.51,0.43,0.46,0.35,0.34,1.03,0.92,0.69,0.85,0.84,0.63,1.2,0.92,2.81,0.9
g_0,0.34,0.32,0.64,0.49,0.31,0.28,0.83,0.71,,0.78,0.81,1.29,0.92,0.55,0.63,0.54
