,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.49,0.76,0.46,0.47,0.37,0.35,0.51,0.35,0.5,0.57,0.57,0.19,0.48,0.42,0.41,0.56
e_1,0.42,1.5,0.47,0.53,0.45,0.35,0.51,0.49,0.48,0.95,0.54,0.53,0.57,0.45,0.26,0.42
d_1,0.48,0.44,1.53,0.36,0.49,0.31,0.54,0.58,0.88,0.23,0.5,0.61,0.61,0.55,0.49,0.49
c_1,0.49,0.42,0.51,1.56,0.71,0.3,0.64,0.47,0.24,0.49,0.52,0.51,0.59,0.45,0.49,0.51
b_1,0.55,0.5,0.44,0.42,1.6,0.74,0.52,0.55,0.53,0.52,0.29,0.51,0.47,0.43,0.43,0.47
a_1,0.6,0.47,0.54,0.63,0.3,1.75,0.54,0.51,0.7,0.7,0.62,0.54,0.84,0.36,0.43,0.42
h_1,1.0,0.75,0.76,0.59,0.63,0.67,1.68,0.84,0.79,0.91,0.75,0.76,0.65,0.68,0.61,1.01
g_1,0.81,0.63,0.98,0.68,0.7,0.67,0.85,1.78,0.78,0.76,0.89,1.13,1.01,0.79,0.56,0.45
c_0,1.02,0.82,0.76,0.5,0.58,0.53,0.84,0.74,1.55,0.88,1.44,0.89,0.92,0.91,0.7,1.0
d_0,0.87,0.65,0.5,1.22,0.7,0.63,0.74,0.8,0.78,1.46,0.93,0.88,1.19,0.82,0.72,0.94
b_0,0.89,0.68,0.85,0.85,0.41,0.6,1.0,0.86,0.93,0.82,1.57,0.82,1.0,1.51,0.85,0.87
f_0,0.65,0.8,0.79,0.79,0.8,0.74,1.04,0.75,1.05,0.93,1.0,1.62,1.25,0.66,1.1,0.93
h_0,1.17,0.76,0.8,0.89,0.74,0.45,0.51,0.98,0.92,0.85,0.94,0.71,0.68,0.84,1.03,1.22
a_0,0.8,0.86,0.88,0.99,0.83,,1.16,0.75,0.88,0.85,0.77,1.03,1.06,1.64,0.9,0.93
e_0,1.11,0.49,0.81,0.83,0.7,0.73,1.12,1.15,1.15,1.11,1.01,0.96,1.11,0.84,1.73,0.91
g_0,0.57,0.85,1.31,0.78,0.87,0.76,0.76,,0.94,0.8,0.94,1.17,0.75,0.69,0.8,0.6
