,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.42,0.82,1.53,1.29,1.29,1.37,0.87,0.65,0.52,0.62,0.57,0.67,0.56,0.56,1.2,0.54
f_1,1.59,0.41,1.17,1.26,1.2,1.4,0.52,0.55,0.6,0.76,0.58,0.93,0.53,0.38,0.49,0.49
c_1,1.06,1.52,0.4,1.62,1.27,1.09,0.7,0.39,1.11,0.64,0.56,0.62,0.52,0.48,0.66,0.51
d_1,1.53,1.37,1.06,0.39,1.2,1.36,0.7,1.38,0.57,0.51,0.61,0.66,0.59,0.51,0.53,0.32
b_1,1.29,1.53,0.84,1.3,0.38,1.58,0.7,0.59,0.64,0.72,0.9,0.56,0.64,0.47,0.6,0.52
a_1,1.2,1.15,1.58,1.34,0.89,0.3,0.8,0.63,0.61,0.76,0.6,0.58,1.08,0.51,0.7,0.58
h_1,0.82,1.13,1.11,0.85,0.95,0.79,0.25,0.53,0.47,0.71,0.46,0.45,0.42,0.82,0.4,0.41
d_0,0.59,1.02,1.42,1.49,1.05,0.78,0.52,0.27,0.46,0.68,0.5,0.4,0.39,0.37,0.4,0.46
c_0,1.02,0.96,2.24,0.65,1.03,0.92,0.49,0.45,0.26,0.63,0.49,0.4,0.35,0.35,0.35,0.32
g_1,1.23,1.1,1.01,0.9,1.03,0.92,0.34,0.44,0.38,0.22,0.38,0.41,0.4,0.29,0.36,0.8
b_0,1.0,0.93,1.16,0.79,2.13,0.89,0.45,0.5,0.26,0.51,0.24,0.33,0.56,0.34,0.38,0.35
f_0,0.74,1.88,0.99,0.96,1.03,0.97,0.55,0.47,0.39,0.41,0.44,0.23,0.45,0.42,0.52,0.27
a_0,0.95,1.05,1.05,0.89,1.16,1.3,0.57,0.5,0.39,0.51,0.24,0.36,0.22,0.44,0.49,0.36
h_0,0.89,1.18,0.98,0.82,1.0,1.03,0.64,0.4,0.44,0.57,0.43,0.34,0.43,0.51,0.37,0.47
e_0,1.22,1.04,0.97,0.81,1.05,0.83,0.49,0.46,0.47,0.54,0.58,0.26,0.49,0.34,0.2,0.45
g_0,0.87,0.86,1.09,1.14,0.93,0.69,0.49,0.48,0.52,,0.41,0.47,0.54,0.28,0.39,0.61
